CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	NCIES	SAtimeCmean	grade	CAAnsCsum	SAIES	SAPreOrdmax	SSPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)								('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	857254.27	-inf	0.05	0.05	3.32	0.47	[ 26.32 927.79]	[2267.76 -726.5 ]	[1.   3.32 9.  ]	[2294.08   26.32  901.47]	3894791537.9090195	6144712454.443547	1.5918695364447073e-07	3	1	5822008072.0269	3894791537.9090195	620
(0.06, 0.16)	(0.4, 0.57)		(0.04, 0.38)							('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax')	839294.66	777451.8955789473	0.05	0.05	3.46	0.6	[185.37 885.59]	[1926.2  -493.48]	[1.   3.46 9.  ]	[2111.57  185.37  700.22]	4056260855.068803	6317084407.118279	1.6049263675596564e-07	3	1	5966860272.636914	4056260855.068803	651
(0.06, 0.18)			(0.04, 0.38)		['3', '4', '5', '6', '7']					('NCIES', 'CAPreOrdmax', 'grade')	779052.32	685983.3910571429	0.11	0.11	3.16	0.35	[135.07 763.1 ]	[1782.85 -198.63]	[1.   3.16 9.  ]	[1917.91  135.07  628.03]	6168784825.379915	10093915618.930527	2.3100173540454766e-07	3	1	8399857130.736397	6168784825.379915	1425
(0.06, 0.18)	(0.38, 0.57)				['3', '4', '5', '6', '7']					('NCRTinterceptNumDis', 'CAPreOrdmax', 'grade')	747797.17	571329.7750845441	0.12	0.12	2.84	0.51	[ 84.2 724.9]	[1814.83   -7.4 ]	[1.   2.84 9.  ]	[1899.03   84.2   640.7 ]	6446821291.504327	10515655216.681265	2.4089391186421684e-07	3	1	8652172320.318272	6446821291.504327	1553
(0.06, 0.16)							(0.46, 0.6)	(0.14, 0.31)		('SAIES', 'SAPreOrdmax', 'CAPreOrdmax')	748074.91	533393.12040311	0.06	0.06	3.25	0.5	[182.53 829.78]	[1734.93 -370.01]	[1.   3.25 9.  ]	[1917.45  182.53  647.25]	4284523604.8119526	6967536853.763571	1.9348708898906504e-07	3	1	6101255389.362272	4284523604.8119526	829
	(0.41, 0.57)		(0.04, 0.38)	(0.71, 0.76)						('NCIES', 'SAtimeCmean', 'NCRTinterceptNumDis')	822307.35	731853.5414999999	0.07	0.07	3.51	0.43	[ 90.44 869.83]	[2059.94 -676.77]	[1.   3.51 9.  ]	[2150.38   90.44  779.39]	5074482724.782036	7997132102.085988	1.856346845757489e-07	3	1	7145073006.07842	5074482724.782036	942
	(0.41, 0.57)		(0.04, 0.38)							('NCIES', 'NCRTinterceptNumDis', 'NCRTinterceptNumDis')	762534.82	517060.6285638163	0.09	0.09	3.3	0.36	[ 27.19 798.47]	[2151.87 -396.89]	[1.  3.3 9. ]	[2179.06   27.19  771.27]	6125569615.050829	9339779928.31561	1.9345139708940635e-07	3	1	8182757079.337641	6125569615.050829	1185
			(0.04, 0.38)		['3', '4', '5', '6', '7']	(0.0, 0.25)				('CAAnsCsum', 'NCIES', 'grade')	765767.44	628714.8045142269	0.13	0.13	3.16	0.32	[ 99.05 751.34]	[1856.46 -204.54]	[1.   3.16 9.  ]	[1955.51   99.05  652.29]	7000594957.724298	11282103558.73594	2.3369442309969308e-07	3	1	9300597452.158508	7000594957.724298	1636
			(0.04, 0.38)			(0.04, 0.27)			(0.06, 0.41)	('NCIES', 'SSPreOrdmax', 'CAAnsCsum')	745338.02	476135.01210587635	0.12	0.12	3.25	0.34	[145.9  763.25]	[1727.73 -280.63]	[1.   3.25 9.  ]	[1873.63  145.9   617.35]	6567683979.284393	10815788035.617237	2.4026734614169683e-07	3	1	8778046127.50885	6567683979.284393	1578
			(0.01, 0.02)							('NCIES',)	445490.36	445490.36	0.14	0.14	3.47	0.2	[ 28.62 401.35]	[ 987.99 -304.01]	[1.   3.47 9.  ]	[1016.6    28.62  372.74]	993033089.8411075	2169647937.239155	1.8106143877720056e-06	3	1	2377631578.051753	993033089.8411075	1798
