NCtimeCmean	NCAnsCsum	CAAnsCsum	NCRTinterceptNumRatio	NCtimeCmedian	NCAnsCprop	NCRTinterceptNumDis	NCPreOrdmax	SAAnsCsum	NCIES	SAAnsCprop	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)									('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.680975	6223640788.466258	1.4739592883366576e-06	3	1	4221076046.151337	2764662519.680975	4075
(0.04, 0.12)		(0.32, 0.79)			(0.29, 0.98)						('NCtimeCmean', 'NCAnsCprop', 'CAAnsCsum')	1288.24	1076.2611639344268	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.680992	6223640788.466258	1.473959288336648e-06	3	1	4221076046.151337	2764662519.680992	4075
(0.04, 0.12)	(0.83, 0.98)	(0.34, 0.95)									('NCtimeCmean', 'CAAnsCsum', 'NCAnsCsum')	1271.2	810.8888912068967	0.3	0.3	3.59	0.15	[ 62.6  452.84]	[1061.29 -338.43]	[1.   3.59 9.  ]	[1123.89   62.6   390.24]	2578399127.8679624	5817801530.9255905	1.506361043184039e-06	3	1	4027987403.6473	2578399127.8679624	3884
		(0.38, 0.95)	(0.3, 0.38)	(0.09, 0.18)							('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAAnsCsum')	1263.83	1166.8255043859651	0.29	0.29	3.62	0.16	[ 61.41 437.5 ]	[1041.48 -321.1 ]	[1.   3.62 9.  ]	[1102.89   61.41  376.09]	2703011132.1183653	5671443548.326913	1.421377793952703e-06	3	1	4488658148.994196	2703011132.1183653	3842
		(0.38, 0.95)		(0.08, 0.18)		(0.27, 0.35)					('NCRTinterceptNumDis', 'NCtimeCmedian', 'CAAnsCsum')	1253.08	963.9765428571427	0.3	0.3	3.62	0.16	[ 61.62 440.46]	[1042.81 -327.88]	[1.   3.62 9.  ]	[1104.43   61.62  378.84]	2765084488.493864	5811718106.905142	1.406828621760804e-06	3	1	4516830889.728216	2765084488.493864	3890
			(0.3, 0.38)					(0.56, 1.0)			('NCRTinterceptNumRatio', 'SAAnsCsum')	1182.59	685.8973694818674	0.25	0.25	3.55	0.16	[ 45.34 426.5 ]	[1071.86 -280.1 ]	[1.   3.55 9.  ]	[1117.2    45.34  381.15]	2190471341.3758116	4635888309.667573	1.5078946424039592e-06	3	1	3852452458.4045997	2190471341.3758116	3303
				(0.08, 0.18)		(0.27, 0.35)					('NCRTinterceptNumDis', 'NCtimeCmedian')	1165.71	889.7070129179813	0.41	0.41	3.5	0.14	[ 62.23 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.23  397.81]	4668208394.894453	9332565711.661802	1.1299838297213092e-06	3	1	6315022515.431694	4668208394.894453	5275
				(0.08, 0.18)		(0.27, 0.35)	(52.0, 52.0)				('NCRTinterceptNumDis', 'NCtimeCmedian', 'NCPreOrdmax')	1165.71	758.5276624793377	0.41	0.41	3.5	0.14	[ 62.23 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.23  397.81]	4668208394.89443	9332565711.661802	1.1299838297213147e-06	3	1	6315022515.431694	4668208394.89443	5275
				(0.08, 0.18)		(0.27, 0.35)				(0.58, 1.0)	('NCRTinterceptNumDis', 'NCtimeCmedian', 'SAAnsCprop')	1165.71	648.1642909277529	0.41	0.41	3.5	0.14	[ 62.24 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.24  397.81]	4668208394.904752	9332565711.661802	1.1299838297188164e-06	3	1	6315022515.431694	4668208394.904752	5275
									(0.04, 0.38)		('NCIES',)	682.5	682.5	0.21	0.21	3.23	0.24	[ 93.61 685.29]	[1762.72 -147.35]	[1.   3.23 9.  ]	[1856.33   93.61  591.68]	9642060781.257812	15630130713.573212	2.911203386579176e-07	3	1	11764674897.381205	9642060781.257812	2807
