CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	SAAnsCsum	SStimeCmedian	NCIES	NCtimeCmean	NCtimeCmedian	SSPreOrdmax	NCRTinterceptNumRatio	grade	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)									('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	5385204319819.87	-inf	0.05	0.05	3.32	0.47	[ 26.32 927.79]	[2267.76 -726.5 ]	[1.   3.32 9.  ]	[2294.08   26.32  901.47]	3894791537.90903	6144712454.443547	1.591869536444703e-07	3	1	5822008064.418019	3894791537.90903	620
(0.0, 0.19)			(0.1, 0.24)	(0.29, 0.35)							('CAPreOrdmax', 'SAAnsCsum', 'SStimeCmedian')	4238018985154.76	2712332150499.0464	0.05	0.05	2.21	0.45	[-241.35  759.28]	[2468.37  253.92]	[1.   2.21 9.  ]	[2227.01 -241.35 1000.63]	3636731457.7029066	5399493517.743104	1.5948386806826516e-07	3	1	5130870240.600232	3636731457.7029066	580
(0.02, 0.15)							(0.19, 0.52)				('NCtimeCmedian', 'CAPreOrdmax')	2904002627326.52	1612268093954.8916	0.11	0.11	2.54	0.44	[ 34.88 703.73]	[1786.99   88.73]	[1.   2.54 9.  ]	[1821.86   34.88  668.85]	6373364245.34028	10087121382.608753	2.2578342373136565e-07	3	1	8257285659.744117	6373364245.34028	1439
(0.0, 0.19)											('CAPreOrdmax',)	1283524973003.74	465762975153.6512	0.25	0.25	3.13	0.24	[141.4  657.84]	[1488.96 -127.86]	[1.   3.13 9.  ]	[1630.37  141.4   516.44]	10218701370.319387	17130744138.316856	3.2274159704668233e-07	3	1	11893600988.23143	10218701370.319387	3298
	(0.4, 0.57)				(0.03, 0.38)	(0.2, 0.44)					('NCIES', 'NCRTinterceptNumDis', 'NCtimeCmean')	4360657621910.66	2257668776325.0664	0.07	0.07	3.41	0.42	[ 15.72 835.69]	[2260.9  -535.65]	[1.   3.41 9.  ]	[2276.62   15.72  819.98]	5380848679.084458	7967686723.467547	1.689324592110003e-07	3	1	7216858172.371578	5380848679.084458	909
					(0.04, 0.38)						('NCIES',)	1951332810768.13	935600220962.2386	0.21	0.21	3.23	0.24	[ 93.61 685.29]	[1762.72 -147.35]	[1.   3.23 9.  ]	[1856.33   93.61  591.68]	9642060781.257982	15630130713.573212	2.911203386579125e-07	3	1	11764674881.482048	9642060781.257982	2807
								(0.57, 1.0)			('SSPreOrdmax',)	504151245302.08	490261364053.96155	0.25	0.25	3.77	0.33	[109.68 409.42]	[1039.39  -90.87]	[1.   3.77 9.  ]	[1149.07  109.68  299.75]	4939634204.895859	7273187832.133092	6.692803278273719e-07	3	1	6305604336.417573	4939634204.895859	3306
								(0.06, 0.36)			('SSPreOrdmax',)	1236409235893.72	226868996748.69156	0.25	0.25	3.2	0.23	[133.22 665.65]	[1513.43 -191.81]	[1.  3.2 9. ]	[1646.65  133.22  532.43]	9954946127.265945	16679286310.848372	3.239595632935608e-07	3	1	11556013425.56396	9954946127.265945	3225
									(0.41, 0.58)		('NCRTinterceptNumRatio',)	1727158276942.72	300281060933.93207	0.23	0.23	3.2	0.25	[111.71 669.19]	[1653.38 -128.93]	[1.  3.2 9. ]	[1765.1   111.71  557.48]	10872333187.608044	17294370358.592278	2.8356378955658843e-07	3	1	12786390497.768808	10872333187.608044	3083
										['7', '8', '9']	('grade',)	359214433524.86	161692432359.8704	0.27	0.27	3.96	0.28	[116.32 497.47]	[1000.05 -510.66]	[1.   3.96 9.  ]	[1116.36  116.32  381.15]	5977326249.866316	9409725055.995518	5.972570093659927e-07	3	1	6881974239.102846	5977326249.866316	3570
