max_emo	min_cog	slope_age	homecog	momage	slope_cog	max_age	sum_emo	min_emo	sum_cog	slope_emo	homeemo	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.61)	(0.0, 0.37)	(0.29, 0.97)										('max_emo', 'min_cog', 'slope_age')	71.19	-inf	0.08	0.08	[ 0.          1.09930745 -0.03493596]	-3.612032081346974	65.5614924094071	180.1417391304348	1.7540784349731982	3	2	50.3887188480339	121.75978058031805	65.5614924094071	115
(0.0, 0.61)		(0.0, 0.85)	(1.0, 10.0)									('max_emo', 'slope_age', 'homecog')	64.33	52.35131034482759	0.29	0.29	[ 0.          1.90583286 -0.07771027]	-7.020307784559964	272.7781895553443	538.0477739726027	1.0704668158256685	3	2	2.85342889639902	340.0074849999542	272.7781895553443	292
(0.0, 0.61)		(0.0, 0.85)										('max_emo', 'slope_age')	53.84	8.685883513513513	0.37	0.37	[ 0.          2.07303376 -0.08618001]	-7.711401036354095	349.0578518728878	690.8575487465181	1.028482809006493	3	2	-7.567554356776279	405.5342114976362	349.0578518728878	359
	(0.65, 1.0)							(0.78, 1.0)				('min_emo', 'min_cog')	37.85	25.336326530612244	0.12	0.12	[ 0.          1.97891685 -0.0706637 ]	-7.5101082573681275	141.09416613507335	383.835	1.1765192321352507	3	2	11.649042443951963	177.231633152018	141.09416613507335	166
		(0.3, 0.9)		(21.0, 26.0)			(0.0, 0.69)					('momage', 'sum_emo', 'slope_age')	52.3	33.403284671532845	0.34	0.34	[ 0.          1.44012774 -0.049327  ]	-5.156159022637334	556.8014053088908	1192.8860369609858	0.8746385970951925	3	2	-83.79576865981663	619.9318674659924	556.8014053088908	487
				(27.0, 29.0)	(0.3, 1.0)	(0.72, 1.0)						('momage', 'slope_cog', 'max_age')	50.39	50.39	0.19	0.19	[ 0.          1.69973582 -0.05604634]	-6.33234100708629	248.49260868030822	809.3091666666668	1.2072793697697355	3	2	39.39946456695717	293.94169291167475	248.49260868030822	300
				(27.0, 29.0)	(0.3, 1.0)							('momage', 'slope_cog')	45.48	10.938404081632655	0.24	0.24	[ 0.          1.63267833 -0.05287349]	-6.042492302428461	315.7185926467217	1014.6390296495957	1.1750970916531873	3	2	42.11253147687966	356.8974631212291	315.7185926467217	371
							(0.33, 0.66)		(0.0, 0.25)	(0.28, 0.62)		('sum_cog', 'sum_emo', 'slope_emo')	54.32	13.537115789473685	0.05	0.05	[0.         0.34909003]	0.04337115794274693	26.118842921439573	55.56759259259259	2.0674729030846257	2	1	31.24369215888132	66.33024509340672	26.118842921439573	54
									(0.0, 0.25)	(0.31, 0.85)		('sum_cog', 'slope_emo')	49.2	3.294722727272729	0.05	0.05	[0.         0.42972126]	-0.7104362177126351	50.62441459876756	119.47500000000002	1.3827320385785584	2	1	14.18729912784664	96.21588727884736	50.62441459876756	70
											(10.0, 13.0)	('homeemo',)	26.55	6.876832932692308	0.51	0.51	[ 0.          1.68046593 -0.05597017]	-6.330975636338661	614.6922428709478	1882.0362297496322	1.1046178113924132	3	2	47.99823132162677	639.2017222640031	614.6922428709478	679
