max_emo	min_cog	slope_age	homecog	slope_emo	min_emo	momage	slope_cog	max_age	sum_emo	sum_cog	kidgen	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.61)	(0.0, 0.37)	(0.29, 0.97)	(1.0, 6.0)									('max_emo', 'min_cog', 'slope_age', 'homecog')	76.5	-inf	0.08	0.08	[ 0.          1.1356273  -0.03682884]	-3.7958531912379376	56.770487282312466	164.26872727272723	1.937626489851741	3	2	58.65957307452993	113.80521923483995	56.770487282312466	110
(0.0, 0.61)		(0.0, 0.85)	(2.0, 10.0)	(0.21, 0.62)	(0.2, 0.73)							('max_emo', 'slope_age', 'slope_emo', 'min_emo', 'homecog')	72.81	61.8885	0.15	0.15	[ 0.          1.63091345 -0.06218952]	-6.023576765825691	164.32196269219816	361.22808510638305	1.1440953900493185	3	2	9.59815732114749	242.04387435598647	164.32196269219816	188
(0.0, 0.61)		(0.0, 0.85)	(1.0, 10.0)									('max_emo', 'slope_age', 'homecog')	64.33	39.790323275862065	0.29	0.29	[ 0.          1.90583286 -0.07771027]	-7.020307784559964	272.7781895553443	538.0477739726027	1.0704668158256685	3	2	2.85342889639902	340.0074849999523	272.7781895553443	292
(0.0, 0.61)		(0.0, 0.85)										('max_emo', 'slope_age')	53.84	21.713344594594595	0.37	0.37	[ 0.          2.07303376 -0.08618001]	-7.711401036354095	349.0578518728878	690.8575487465181	1.028482809006493	3	2	-7.567554356776279	405.534211497634	349.0578518728878	359
	(0.0, 0.61)	(0.3, 0.9)	(1.0, 9.0)			(21.0, 26.0)			(0.0, 0.69)			('momage', 'sum_emo', 'slope_age', 'min_cog', 'homecog')	68.52	48.72533333333333	0.22	0.22	[ 0.         1.4565943 -0.0509348]	-5.2774806879793	302.1514056819858	699.3209119496854	1.0524524924259158	3	2	-1.0289931740016058	374.80070921010423	302.1514056819858	318
		(0.3, 0.9)				(21.0, 26.0)			(0.0, 0.69)			('momage', 'sum_emo', 'slope_age')	52.3	26.388594890510948	0.34	0.34	[ 0.          1.44012774 -0.049327  ]	-5.156159022637359	556.801405308891	1192.8860369609858	0.8746385970951922	3	2	-83.79576865981682	619.9318674659891	556.801405308891	487
		(0.9, 1.0)									1.0	('slope_age', 'kidgen')	47.42	13.548571428571428	0.1	0.1	[ 0.          1.67850515 -0.05445858]	-6.209404697676014	112.25657399798084	441.24279761904756	1.4965715950232175	3	2	52.36182538224437	148.86210726706173	112.25657399798084	168
				(0.28, 0.62)					(0.33, 0.66)	(0.0, 0.25)		('sum_cog', 'sum_emo', 'slope_emo')	54.32	18.98519736842105	0.05	0.05	[0.         0.34909003]	0.04337115794274604	26.118842921439573	55.56759259259259	2.0674729030846257	2	1	31.24369215888132	66.3302450934061	26.118842921439573	54
						(27.0, 29.0)	(0.3, 1.0)	(0.72, 1.0)				('momage', 'slope_cog', 'max_age')	50.39	50.39	0.19	0.19	[ 0.          1.69973582 -0.05604634]	-6.33234100708629	248.49260868030822	809.3091666666668	1.2072793697697355	3	2	39.39946456695717	293.9416929116769	248.49260868030822	300
						(27.0, 29.0)	(0.3, 1.0)					('momage', 'slope_cog')	45.48	26.916734693877547	0.24	0.24	[ 0.          1.63267833 -0.05287349]	-6.042492302428461	315.7185926467217	1014.6390296495957	1.1750970916531873	3	2	42.112531476879646	356.8974631212311	315.7185926467217	371
