NCtimeCmean	NCAnsCsum	CAAnsCsum	NCRTinterceptNumDis	NCtimeCmedian	NCRTinterceptNumRatio	SAAnsCsum	NCRTslopeNumRatio	NCPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)							('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.6810064	6223640788.466258	1.4739592883366407e-06	3	1	4221075994.4547076	2764662519.6810064	4075
(0.04, 0.12)									('NCtimeCmean',)	952.23	200.62339680589682	0.53	0.53	3.81	28.86	[ 93.67 534.58 -66.33 576.88]	[ 1067.08  -614.4   3814.47 -1245.13]	[1.   3.81 7.37 7.87 9.  ]	[1160.75   93.67  440.91 -600.91  643.21]	7498902959.463638	13901651663.332743	9.053324248491923e-07	7	3	9018370376.289248	7498902959.463638	6789
(0.04, 0.12)								(52.0, 52.0)	('NCtimeCmean', 'NCPreOrdmax')	952.23	52.58687250460688	0.53	0.53	3.81	0.0	[ 93.67 534.58 -81.56 853.39]	[ 1067.08  -614.4   4022.38 -3733.77]	[1.   3.81 7.53 8.3  9.  ]	[1160.75   93.67  440.91 -616.14  934.95]	7498902959.463636	13901651663.332743	9.053324248491925e-07	7	3	9018370376.289248	7498902959.463636	6789
	(0.46, 0.98)			(0.07, 0.19)					('NCtimeCmedian', 'NCAnsCsum')	996.97	124.42153645833334	0.4	0.4	3.41	0.13	[ 49.21 475.71]	[1121.62 -331.58]	[1.   3.41 9.  ]	[1170.83   49.21  426.5 ]	4731972683.7472105	9678088074.668146	1.0934129053134669e-06	3	1	5932006309.674304	4731972683.7472105	5174
	(0.29, 0.98)		(0.27, 0.35)						('NCRTinterceptNumDis', 'NCAnsCsum')	919.68	78.1640909090909	0.43	0.43	3.46	0.13	[ 58.95 482.83]	[1136.39 -330.49]	[1.   3.46 9.  ]	[1195.34   58.95  423.88]	5299696405.99029	10668338444.547976	1.0343988749626584e-06	3	1	6351133964.775289	5299696405.99029	5482
		(0.34, 0.95)			(0.3, 0.38)				('NCRTinterceptNumRatio', 'CAAnsCsum')	1081.75	36.22717324918567	0.4	0.4	3.91	0.0	[ 86.62 512.23 107.13 603.44]	[ 1064.44  -598.49  2333.46 -1730.78]	[1.   3.91 7.24 8.19 9.  ]	[1151.06   86.62  425.61 -405.1   496.31]	4921337881.690898	9089904642.234156	1.0517465218668555e-06	7	3	6742139930.050522	4921337881.690898	5176
			(0.27, 0.35)	(0.08, 0.18)					('NCRTinterceptNumDis', 'NCtimeCmedian')	1171.16	803.5561514195583	0.41	0.41	3.67	0.0	[ 62.23 513.58 101.18 634.84]	[ 1070.01  -587.75  2441.19 -1894.52]	[1.   3.67 7.34 8.12 9.  ]	[1132.24   62.23  451.35 -412.41  533.66]	4651511478.81539	9332565711.661802	1.13403998335255e-06	7	3	6315022481.128808	4651511478.81539	5275
					(0.3, 0.38)	(0.56, 1.0)			('NCRTinterceptNumRatio', 'SAAnsCsum')	1189.12	444.4032653061224	0.25	0.25	3.59	21.36	[  45.34  415.87 1420.42  297.55]	[ 1071.86  -256.76 -6968.6    783.17]	[1.   3.59 6.68 6.9  9.  ]	[ 1117.2     45.34   370.53  1004.55 -1122.87]	2176552073.981499	4635888309.667573	1.5175377788953722e-06	7	3	3852452429.976004	2176552073.981499	3303
					(0.32, 0.38)				('NCRTinterceptNumRatio', 'NCRTinterceptNumRatio')	918.67	348.1158716707022	0.53	0.53	3.81	0.0	[  88.83  537.22  241.34 1611.49]	[  1102.24   -605.36   1471.25 -10528.41]	[1.   3.81 7.02 8.76 9.  ]	[1191.07   88.83  448.39 -295.88 1370.15]	7689875640.336968	14229861311.571903	8.979338968474431e-07	7	3	9080246793.649822	7689875640.336968	6905
						(0.59, 1.0)	(0.42, 0.5)		('SAAnsCsum', 'NCRTslopeNumRatio')	1007.89	97.20490840517242	0.22	0.22	3.63	0.18	[ 54.02 436.96]	[1064.5  -327.04]	[1.   3.63 9.  ]	[1118.52   54.02  382.94]	1990201068.470718	4225652048.2623506	1.4747253664451458e-06	3	1	3379163534.076645	1990201068.470718	2935
