SAAnsCsum	NCtimeCmean	SSAnsCprop	NCPreOrdmax	grade	CAAnsCsum	NCIES	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.59, 1.0)	(0.05, 0.07)	(0.92, 1.0)					('SAAnsCsum', 'NCtimeCmean', 'SSAnsCprop')	-95621.65	-inf	0.05	0.05	3.65	0.34	[ 51.51 386.8 ]	[ 874.55 -349.19]	[1.   3.65 9.  ]	[926.06  51.51 335.3 ]	212108464.27413625	556300684.5765305	2.7721665988776795e-06	3	1	795348855.8825232	212108464.27413625	588
(0.59, 1.0)	(0.05, 0.07)	(0.92, 1.0)	(52.0, 52.0)				('SAAnsCsum', 'NCtimeCmean', 'SSAnsCprop', 'NCPreOrdmax')	-95621.65	-86059.48499999999	0.05	0.05	3.65	0.34	[ 51.51 386.8 ]	[ 874.55 -349.19]	[1.   3.65 9.  ]	[926.06  51.51 335.3 ]	212108464.27408665	556300684.5765305	2.772166598878327e-06	3	1	795348855.8825232	212108464.27408665	588
(0.59, 1.0)	(0.05, 0.07)	(0.92, 1.0)		['4', '5', '6', '7', '8', '9']			('SAAnsCsum', 'NCtimeCmean', 'SSAnsCprop', 'grade')	-95621.65	-77453.53649999999	0.05	0.05	3.65	0.34	[ 51.51 386.8 ]	[ 874.55 -349.19]	[1.   3.65 9.  ]	[926.06  51.51 335.3 ]	212108464.27408662	556300684.5765305	2.7721665988783275e-06	3	1	795348855.8825232	212108464.27408662	588
(0.59, 1.0)	(0.05, 0.07)	(0.92, 1.0)	(52.0, 52.0)	['4', '5', '6', '7', '8', '9']			('SAAnsCsum', 'NCtimeCmean', 'SSAnsCprop', 'NCPreOrdmax', 'grade')	-95621.65	-69708.18285	0.05	0.05	3.65	0.34	[ 51.51 386.8 ]	[ 874.55 -349.19]	[1.   3.65 9.  ]	[926.06  51.51 335.3 ]	212108464.2740867	556300684.5765305	2.7721665988783267e-06	3	1	795348855.8825232	212108464.2740867	588
(0.59, 1.0)	(0.05, 0.07)			['5', '6', '7', '8', '9']	(0.48, 0.79)		('SAAnsCsum', 'NCtimeCmean', 'CAAnsCsum', 'grade')	-98120.26	-71125.41406879999	0.05	0.05	3.57	0.36	[ 47.68 359.73]	[ 896.06 -219.28]	[1.   3.57 9.  ]	[943.74  47.68 312.05]	217371840.37813288	520856865.3572649	2.691240958269265e-06	3	1	849501162.0894245	217371840.37813288	585
(0.59, 1.0)	(0.05, 0.07)		(52.0, 52.0)	['5', '6', '7', '8', '9']	(0.48, 0.79)		('SAAnsCsum', 'NCtimeCmean', 'CAAnsCsum', 'grade', 'NCPreOrdmax')	-98120.26	-64012.872661919995	0.05	0.05	3.57	0.36	[ 47.68 359.73]	[ 896.06 -219.28]	[1.   3.57 9.  ]	[943.74  47.68 312.05]	217371840.37813282	520856865.3572649	2.6912409582692657e-06	3	1	849501162.0894245	217371840.37813282	585
(0.59, 1.0)	(0.05, 0.07)				(0.48, 0.79)	(0.01, 0.02)	('SAAnsCsum', 'NCtimeCmean', 'CAAnsCsum', 'NCIES')	-100279.16	-59236.35242726059	0.05	0.05	3.65	0.39	[ 56.53 354.14]	[ 878.33 -208.16]	[1.   3.65 9.  ]	[934.86  56.53 297.61]	222059354.47429228	512584810.6232876	2.629927486651365e-06	3	1	876765958.1570476	222059354.47429228	584
(0.59, 1.0)	(0.05, 0.07)		(52.0, 52.0)		(0.48, 0.79)	(0.01, 0.02)	('SAAnsCsum', 'NCtimeCmean', 'CAAnsCsum', 'NCIES', 'NCPreOrdmax')	-100279.16	-53312.71718453452	0.05	0.05	3.65	0.39	[ 56.53 354.14]	[ 878.33 -208.16]	[1.   3.65 9.  ]	[934.86  56.53 297.61]	222059354.47429204	512584810.6232876	2.629927486651368e-06	3	1	876765958.1570476	222059354.47429204	584
(0.59, 1.0)	(0.05, 0.07)			['4', '5', '6', '7', '8', '9']	(0.48, 0.79)	(0.01, 0.02)	('SAAnsCsum', 'NCtimeCmean', 'CAAnsCsum', 'NCIES', 'grade')	-100279.16	-47981.44546608107	0.05	0.05	3.65	0.39	[ 56.53 354.14]	[ 878.33 -208.16]	[1.   3.65 9.  ]	[934.86  56.53 297.61]	222059354.47429317	512584810.6232876	2.6299274866513543e-06	3	1	876765958.1570476	222059354.47429317	584
(0.59, 1.0)	(0.05, 0.07)				(0.48, 0.79)		('SAAnsCsum', 'NCtimeCmean', 'CAAnsCsum')	-101305.64	-43909.01921091448	0.05	0.05	3.63	0.39	[ 58.76 354.45]	[ 878.45 -195.34]	[1.   3.63 9.  ]	[937.21  58.76 295.69]	226052187.53730935	529106010.2607973	2.6631018551883793e-06	3	1	886039927.9522495	226052187.53730935	602
