NCtimeCmean	NCAnsCsum	CAAnsCsum	NCRTinterceptNumRatio	NCtimeCmedian	NCAnsCprop	NCPreOrdmax	NCRTinterceptNumDis	SAAnsCsum	SAAnsCprop	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)								('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.680996	6223640788.466258	1.4739592883366462e-06	3	1	4221076035.239112	2764662519.680996	4075
(0.04, 0.12)		(0.32, 0.79)			(0.29, 0.98)					('NCtimeCmean', 'NCAnsCprop', 'CAAnsCsum')	1288.24	1076.2611639344268	0.32	0.32	3.6	0.15	[ 62.8  458.34]	[1065.11 -360.15]	[1.  3.6 9. ]	[1127.91   62.8   395.55]	2764662519.6810284	6223640788.466258	1.473959288336629e-06	3	1	4221076035.239112	2764662519.6810284	4075
(0.04, 0.12)	(0.83, 0.98)	(0.32, 0.79)								('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum', 'NCAnsCsum')	1288.24	901.2796303278691	0.32	0.32	3.6	0.15	[ 62.8  458.34]	[1065.11 -360.15]	[1.  3.6 9. ]	[1127.91   62.8   395.55]	2764662519.6810617	6223640788.466258	1.4739592883366112e-06	3	1	4221076035.239112	2764662519.6810617	4075
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)				(52.0, 52.0)				('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum', 'NCPreOrdmax')	1288.24	689.9407829188525	0.32	0.32	3.6	0.15	[ 62.8  458.34]	[1065.11 -360.15]	[1.  3.6 9. ]	[1127.91   62.8   395.55]	2764662519.6810427	6223640788.466258	1.4739592883366214e-06	3	1	4221076035.239112	2764662519.6810427	4075
		(0.38, 0.95)	(0.3, 0.38)	(0.09, 0.18)						('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAAnsCsum')	1263.83	1166.8255043859651	0.29	0.29	3.62	0.16	[ 61.41 437.5 ]	[1041.48 -321.1 ]	[1.   3.62 9.  ]	[1102.89   61.41  376.09]	2703011132.1184273	5671443548.326913	1.4213777939526701e-06	3	1	4488658138.3582945	2703011132.1184273	3842
		(0.38, 0.95)	(0.3, 0.38)	(0.09, 0.18)		(52.0, 52.0)				('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAAnsCsum', 'NCPreOrdmax')	1263.83	971.5693125	0.29	0.29	3.62	0.16	[ 61.41 437.5 ]	[1041.48 -321.1 ]	[1.   3.62 9.  ]	[1102.89   61.41  376.09]	2703011132.1183667	5671443548.326913	1.421377793952702e-06	3	1	4488658138.3582945	2703011132.1183667	3842
			(0.3, 0.38)					(0.56, 1.0)		('NCRTinterceptNumRatio', 'SAAnsCsum')	1189.12	649.225602536098	0.25	0.25	3.59	21.36	[  45.34  415.87 1719.34  297.55]	[ 1071.86  -256.76 -8429.48   783.17]	[1.   3.59 6.27 6.48 9.  ]	[ 1117.2     45.34   370.53  1303.47 -1421.8 ]	2176552073.981501	4635888309.667573	1.517537778895371e-06	7	3	3852452452.4038243	2176552073.981501	3303
				(0.08, 0.18)			(0.27, 0.35)			('NCRTinterceptNumDis', 'NCtimeCmedian')	1171.16	845.1628111356467	0.41	0.41	3.67	0.0	[ 62.23 513.58 222.54 697.86]	[ 1070.01  -587.75  1470.25 -2461.76]	[1.   3.67 7.07 8.27 9.  ]	[1132.24   62.23  451.35 -291.04  475.32]	4651511478.815363	9332565711.661802	1.1340399833525564e-06	7	3	6315022508.190941	4651511478.815363	5275
				(0.08, 0.18)		(52.0, 52.0)	(0.27, 0.35)			('NCRTinterceptNumDis', 'NCtimeCmedian', 'NCPreOrdmax')	1171.16	760.6465300220822	0.41	0.41	3.67	29.34	[   62.23   513.58 -3786.91   568.42]	[ 1070.01  -587.75 29523.35 -1296.73]	[1.   3.67 7.   7.08 9.  ]	[ 1132.24    62.23   451.35 -4300.5   4355.33]	4651511478.81536	9332565711.661802	1.1340399833525573e-06	7	3	6315022508.190941	4651511478.81536	5275
				(0.08, 0.18)		(52.0, 52.0)	(0.27, 0.35)		(0.58, 1.0)	('NCRTinterceptNumDis', 'NCtimeCmedian', 'NCPreOrdmax', 'SAAnsCprop')	1171.16	615.9987005143619	0.41	0.41	3.67	29.34	[ 62.23 513.58  41.72 568.42]	[ 1070.01  -587.75  2742.49 -1296.73]	[1.   3.67 7.06 7.67 9.  ]	[1132.24   62.23  451.35 -471.86  526.7 ]	4651511478.81536	9332565711.661802	1.1340399833525573e-06	7	3	6315022508.190941	4651511478.81536	5275
