NCIES	NCRTinterceptNumDis	CAPreOrdmax	grade	language	NCRTslopeNumDis	SSPreOrdmax	NCtimeCmean	CAAnsCsum	SAtimeCmean	SAIES	SAPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.38)	(0.4, 0.57)	(0.06, 0.16)	['3', '4', '5', '6', '7']	f								('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax', 'grade', 'language')	911923.95	-inf	0.05	0.05	3.48	0.64	[202.88 907.98]	[1958.89 -491.39]	[1.   3.48 9.  ]	[2161.77  202.88  705.1 ]	3893313964.3872848	6082515252.441473	1.535966545390364e-07	3	1	5924749072.342337	3893313964.3872848	598
(0.04, 0.38)	(0.41, 0.57)					(0.06, 0.41)	(0.2, 0.44)					('NCIES', 'SSPreOrdmax', 'NCRTinterceptNumDis', 'NCtimeCmean')	869336.73	763277.6489399999	0.05	0.05	3.35	0.46	[ 42.   911.47]	[2227.78 -682.51]	[1.   3.35 9.  ]	[2269.78   42.    869.47]	4343323812.7815695	6760145969.557496	1.581737926097729e-07	3	1	6350227068.483728	4343323812.7815695	687
(0.04, 0.38)			['3', '4', '5', '6', '7']					(0.0, 0.25)				('CAAnsCsum', 'NCIES', 'grade')	765767.41	656966.8606068249	0.13	0.13	3.16	0.32	[ 99.05 751.34]	[1856.46 -204.54]	[1.   3.16 9.  ]	[1955.51   99.05  652.29]	7000594957.724328	11282103558.73594	2.3369442309969205e-07	3	1	9300597352.863333	7000594957.724328	1636
(0.04, 0.38)	(0.41, 0.57)								(0.71, 0.76)			('NCIES', 'SAtimeCmean', 'NCRTinterceptNumDis')	822307.36	602419.2322169892	0.07	0.07	3.51	0.43	[ 90.44 869.83]	[2059.94 -676.77]	[1.   3.51 9.  ]	[2150.38   90.44  779.39]	5074482724.782015	7997132102.085988	1.8563468457574965e-07	3	1	7145073044.271387	5074482724.782015	942
(0.04, 0.38)		(0.06, 0.18)	['3', '4', '5', '6', '7']									('NCIES', 'CAPreOrdmax', 'grade')	779052.29	570860.7766471583	0.11	0.11	3.16	0.35	[135.07 763.1 ]	[1782.84 -198.63]	[1.   3.16 9.  ]	[1917.91  135.07  628.03]	6168784825.376416	10093915618.930527	2.310017354046787e-07	3	1	8399857052.250467	6168784825.376416	1425
(0.04, 0.38)	(0.41, 0.57)		['3', '4', '5', '6', '7']									('NCIES', 'NCRTinterceptNumDis', 'NCRTinterceptNumDis', 'grade')	781308.4	521403.75821667	0.09	0.09	3.31	0.36	[ 27.41 804.38]	[2163.48 -409.67]	[1.   3.31 9.  ]	[2190.89   27.41  776.97]	6081422148.809679	9286079970.469584	1.9189590385999065e-07	3	1	8179218281.015103	6081422148.809679	1167
	(0.41, 0.57)	(0.0, 0.19)	['3', '4', '5', '6', '7']		(0.37, 0.56)							('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis', 'grade')	895231.43	828728.5237714286	0.05	0.05	3.33	0.47	[ 26.63 943.35]	[2293.72 -762.16]	[1.   3.33 9.  ]	[2320.35   26.63  916.72]	3820860557.991889	6069761315.342191	1.5755612927062436e-07	3	1	5818469286.831481	3820860557.991889	602
	(0.38, 0.57)	(0.06, 0.16)	['3', '4', '5', '6', '7']	f								('NCRTinterceptNumDis', 'CAPreOrdmax', 'CAPreOrdmax', 'language', 'grade')	807865.76	707818.6384203174	0.08	0.08	2.57	0.47	[ -8.62 764.64]	[1970.8   -14.01]	[1.   2.57 9.  ]	[1962.18   -8.62  773.26]	5148319507.079075	8366190561.513012	2.0900023755722067e-07	3	1	7264094227.778883	5148319507.079075	1076
	(0.38, 0.57)	(0.06, 0.18)	['3', '4', '5', '6', '7']									('NCRTinterceptNumDis', 'CAPreOrdmax', 'grade')	747797.13	502761.52875613974	0.12	0.12	2.84	0.51	[ 84.19 724.9 ]	[1814.84   -7.4 ]	[1.   2.84 9.  ]	[1899.03   84.19  640.71]	6446821291.491242	10515655216.681265	2.408939118647058e-07	3	1	8652172201.20183	6446821291.491242	1553
		(0.06, 0.16)								(0.46, 0.6)	(0.14, 0.31)	('SAIES', 'SAPreOrdmax', 'CAPreOrdmax')	748074.9	473703.74148579984	0.06	0.06	3.25	0.5	[182.53 829.78]	[1734.93 -370.01]	[1.   3.25 9.  ]	[1917.45  182.53  647.25]	4284523604.811951	6967536853.763571	1.9348708898906512e-07	3	1	6101255364.32451	4284523604.811951	829
