SSIES	NCPreOrdmax	SSAnsCprop	SStimeCmean	SAAnsCprop	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.16, 0.23)	(52.0, 52.0)				('SSIES', 'NCPreOrdmax')	-100429.02	-inf	0.99	0.99	3.64	0.0	[   93.54   629.49 -2109.13  1346.04]	[ 1299.3   -652.94 20924.5  -7490.94]	[1.   3.64 7.88 8.22 9.  ]	[ 1392.84    93.54   535.96 -2738.62  3455.16]	27713718445.872326	44860049941.73617	4.6828793564267957e-07	7	3	27786122637.977814	27713718445.872326	12978
(0.16, 0.23)		(0.09, 1.0)			('SSIES', 'SSAnsCprop')	-100429.02	-10042.902000000002	0.99	0.99	3.64	0.0	[ 93.54 629.49 155.12 750.36]	[ 1299.3   -652.94  2810.54 -2129.88]	[1.   3.64 7.3  8.3  9.  ]	[1392.84   93.54  535.96 -474.37  595.25]	27713718445.872787	44860049941.73617	4.682879356426717e-07	7	3	27786122637.977814	27713718445.872787	12978
(0.16, 0.23)			(0.01, 0.02)		('SSIES', 'SStimeCmean')	-100429.02	-1004.2902000000004	0.99	0.99	3.64	0.0	[  93.54  629.49   71.   3419.36]	[  1299.31   -652.94   3483.49 -26150.87]	[1.   3.64 7.41 8.85 9.  ]	[1392.84   93.54  535.96 -558.49 3348.36]	27713718445.87258	44860049941.73617	4.682879356426752e-07	7	3	27786122637.977814	27713718445.87258	12978
(0.16, 0.23)	(52.0, 52.0)	(0.09, 1.0)			('SSIES', 'NCPreOrdmax', 'SSAnsCprop')	-100429.02	-100.42902000000005	0.99	0.99	3.64	0.0	[ 93.54 629.49 102.41 630.18]	[ 1299.3   -652.94  3232.2  -1048.24]	[1.   3.64 7.37 8.11 9.  ]	[1392.84   93.54  535.96 -527.08  527.77]	27713718445.8721	44860049941.73617	4.6828793564268333e-07	7	3	27786122637.977814	27713718445.8721	12978
(0.16, 0.23)	(52.0, 52.0)		(0.01, 0.02)		('SSIES', 'NCPreOrdmax', 'SStimeCmean')	-100429.02	-10.042902000000002	0.99	0.99	3.64	0.0	[  93.54  629.49  143.29 2422.63]	[  1299.3    -652.94   2905.13 -17180.26]	[1.   3.64 7.32 8.81 9.  ]	[1392.84   93.54  535.96 -486.2  2279.33]	27713718445.875175	44860049941.73617	4.6828793564263134e-07	7	3	27786122637.977814	27713718445.875175	12978
(0.16, 0.23)			(0.01, 0.02)	(0.21, 1.0)	('SSIES', 'SStimeCmean', 'SAAnsCprop')	-100429.02	-1.0042902	0.99	0.99	3.64	0.0	[  93.54  629.49 -911.8  4290.35]	[  1299.3    -652.94  11345.85 -33989.75]	[1.   3.64 7.78 8.71 9.  ]	[ 1392.84    93.54   535.96 -1541.29  5202.14]	27713718445.8721	44860049941.73617	4.6828793564268333e-07	7	3	27786122637.977814	27713718445.8721	12978
(0.16, 0.23)	(52.0, 52.0)	(0.09, 1.0)		(0.21, 1.0)	('SSIES', 'NCPreOrdmax', 'SSAnsCprop', 'SAAnsCprop')	-100429.02	-0.10042902000000004	0.99	0.99	3.64	0.0	[  93.54  629.49   42.91 2655.4 ]	[  1299.3    -652.94   3708.18 -19275.22]	[1.   3.64 7.43 8.8  9.  ]	[1392.84   93.54  535.96 -586.58 2612.49]	27713718445.87256	44860049941.73617	4.6828793564267555e-07	7	3	27786122637.977814	27713718445.87256	12978
(0.16, 0.23)	(52.0, 52.0)	(0.09, 1.0)	(0.01, 0.02)		('SSIES', 'NCPreOrdmax', 'SSAnsCprop', 'SStimeCmean')	-100429.02	-0.010042902000000005	0.99	0.99	3.64	0.0	[   93.54   629.49 -3493.76  2917.3 ]	[  1299.3    -652.94  32001.54 -21632.29]	[1.   3.64 7.92 8.37 9.  ]	[ 1392.84    93.54   535.96 -4123.25  6411.06]	27713718445.872765	44860049941.73617	4.682879356426721e-07	7	3	27786122637.977814	27713718445.872765	12978
(0.16, 0.23)	(52.0, 52.0)		(0.01, 0.02)	(0.21, 1.0)	('SSIES', 'NCPreOrdmax', 'SStimeCmean', 'SAAnsCprop')	-100429.02	-0.0010042902000000008	0.99	0.99	3.64	0.0	[   93.54   629.49 -1230.95  3205.18]	[  1299.3    -652.94  13899.09 -24223.26]	[1.   3.64 7.82 8.59 9.  ]	[ 1392.84    93.54   535.96 -1860.44  4436.13]	27713718445.873627	44860049941.73617	4.682879356426575e-07	7	3	27786122637.977814	27713718445.873627	12978
(0.16, 0.23)		(0.09, 1.0)	(0.01, 0.02)	(0.21, 1.0)	('SSIES', 'SStimeCmean', 'SAAnsCprop', 'SSAnsCprop')	-100429.02	-0.00010042902000000007	0.99	0.99	3.64	0.0	[  93.54  629.49  146.48 1915.59]	[  1299.31   -652.94   2879.61 -12616.94]	[1.   3.64 7.31 8.76 9.  ]	[1392.84   93.54  535.96 -483.01 1769.11]	27713718445.872288	44860049941.73617	4.6828793564268015e-07	7	3	27786122637.977814	27713718445.872288	12978
