SSIES	NCPreOrdmax	SAAnsCprop	SSAnsCprop	SStimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.16, 0.23)					('SSIES',)	-100429.02	-inf	0.99	0.99	3.64	0.0	[  93.54  629.49 -424.51 4062.33]	[  1299.3    -652.94   7447.53 -31937.62]	[1.   3.64 7.69 8.78 9.  ]	[ 1392.84    93.54   535.96 -1054.    4486.84]	27713718445.87227	44860049941.73617	4.6828793564268047e-07	7	3	27786122639.055023	27713718445.87227	12978
(0.16, 0.23)	(52.0, 52.0)				('SSIES', 'NCPreOrdmax')	-100429.02	-50214.51	0.99	0.99	3.64	0.0	[  93.54  629.49  157.57 2364.31]	[  1299.3    -652.94   2790.92 -16655.4 ]	[1.   3.64 7.3  8.81 9.  ]	[1392.84   93.54  535.96 -471.92 2206.74]	27713718445.872276	44860049941.73617	4.6828793564268037e-07	7	3	27786122639.055023	27713718445.872276	12978
(0.16, 0.23)		(0.21, 1.0)			('SSIES', 'SAAnsCprop')	-100429.02	-25107.255	0.99	0.99	3.64	28.98	[ 93.56 629.5  159.53 571.91]	[1299.26 -653.01 2676.43 -523.76]	[1.   3.64 7.08 7.76 9.  ]	[1392.83   93.56  535.94 -469.97  412.37]	27713718449.885838	44860049941.73617	4.6828793557486193e-07	7	3	27786122639.055023	27713718449.885838	12978
(0.16, 0.23)			(0.09, 1.0)		('SSIES', 'SSAnsCprop')	-100429.02	-12553.6275	0.99	0.99	3.64	0.0	[ 93.54 629.49 265.04 932.39]	[ 1299.3   -652.94  1931.14 -3768.14]	[1.   3.64 7.09 8.54 9.  ]	[1392.84   93.54  535.96 -364.45  667.35]	27713718445.8721	44860049941.73617	4.6828793564268333e-07	7	3	27786122639.055023	27713718445.8721	12978
(0.16, 0.23)				(0.01, 0.02)	('SSIES', 'SStimeCmean')	-100429.02	-6276.81375	0.99	0.99	3.64	0.0	[    93.54    629.49 -11009.46   6040.51]	[  1299.3    -652.94  92127.14 -49741.23]	[1.   3.64 7.97 8.32 9.  ]	[  1392.84     93.54    535.96 -11638.95  17049.97]	27713718445.87212	44860049941.73617	4.68287935642683e-07	7	3	27786122639.055023	27713718445.87212	12978
(0.16, 0.23)	(52.0, 52.0)	(0.21, 1.0)			('SSIES', 'NCPreOrdmax', 'SAAnsCprop')	-100429.02	-3138.406875	0.99	0.99	3.64	0.0	[  93.54  629.49 -411.79  705.85]	[ 1299.31  -652.94  7345.78 -1729.29]	[1.   3.64 7.68 8.12 9.  ]	[ 1392.84    93.54   535.96 -1041.28  1117.64]	27713718445.873993	44860049941.73617	4.6828793564265135e-07	7	3	27786122639.055023	27713718445.873993	12978
(0.16, 0.23)	(52.0, 52.0)		(0.09, 1.0)		('SSIES', 'NCPreOrdmax', 'SSAnsCprop')	-100429.02	-1569.2034375	0.99	0.99	3.64	28.98	[  93.54  629.49 -884.53  571.91]	[ 1299.3   -652.94 11072.15  -523.76]	[1.   3.64 7.74 7.96 9.  ]	[ 1392.84    93.54   535.96 -1514.02  1456.43]	27713718445.8722	44860049941.73617	4.682879356426817e-07	7	3	27786122639.055023	27713718445.8722	12978
(0.16, 0.23)	(52.0, 52.0)			(0.01, 0.02)	('SSIES', 'NCPreOrdmax', 'SStimeCmean')	-100429.02	-784.60171875	0.99	0.99	3.64	28.98	[  93.54  629.49 -405.93  571.91]	[1299.3  -652.94 7222.32 -523.76]	[1.   3.64 7.61 7.92 9.  ]	[ 1392.84    93.54   535.96 -1035.42   977.84]	27713718445.87326	44860049941.73617	4.6828793564266374e-07	7	3	27786122639.055023	27713718445.87326	12978
(0.16, 0.23)		(0.21, 1.0)	(0.09, 1.0)		('SSIES', 'SAAnsCprop', 'SSAnsCprop')	-100429.02	-392.300859375	0.99	0.99	3.64	0.0	[ 93.54 629.49 294.5  952.47]	[ 1299.31  -652.94  1695.5  -3948.86]	[1.   3.64 7.01 8.58 9.  ]	[1392.84   93.54  535.96 -334.99  657.97]	27713718445.87328	44860049941.73617	4.682879356426634e-07	7	3	27786122639.055023	27713718445.87328	12978
(0.16, 0.23)		(0.21, 1.0)		(0.01, 0.02)	('SSIES', 'SAAnsCprop', 'SStimeCmean')	-100429.02	-196.1504296875	0.99	0.99	3.64	28.98	[   93.54   629.49 -1526.34   571.91]	[ 1299.31  -652.94 16055.49  -523.76]	[1.   3.64 7.75 7.9  9.  ]	[ 1392.84    93.54   535.96 -2155.83  2098.25]	27713718445.87258	44860049941.73617	4.682879356426752e-07	7	3	27786122639.055023	27713718445.87258	12978
