CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	NCRTinterceptNumRatio	NCtimeCmean	NCIES	NCtimeCmedian	SSPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)						('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	857254.27	-inf	0.05	0.05	3.32	0.47	[ 26.32 927.79]	[2267.76 -726.5 ]	[1.   3.32 9.  ]	[2294.08   26.32  901.47]	3894791537.9091644	6144712454.443547	1.591869536444648e-07	3	1	5822008064.0421095	3894791537.9091644	620
(0.02, 0.15)			(0.38, 0.58)	(0.15, 0.44)				('NCRTinterceptNumRatio', 'CAPreOrdmax', 'NCtimeCmean')	758272.34	627944.2815624999	0.08	0.08	2.43	0.43	[-40.35 731.32]	[2023.16  151.14]	[1.   2.43 9.  ]	[1982.81  -40.35  771.67]	5322257623.75781	8358556095.490774	2.0367296674275526e-07	3	1	7312605867.203648	5322257623.75781	1084
(0.0, 0.19)	(0.35, 0.57)							('CAPreOrdmax', 'NCRTinterceptNumDis')	618617.31	400220.32048986485	0.19	0.19	3.12	0.27	[147.54 698.48]	[1584.23 -136.57]	[1.   3.12 9.  ]	[1731.77  147.54  550.94]	8641660218.620354	14588733233.689585	2.9114775822575453e-07	3	1	10841863142.730062	8641660218.620354	2516
	(0.41, 0.57)	(0.36, 0.56)						('NCRTinterceptNumDis', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	791271.48	480849.5916923076	0.08	0.08	3.28	0.34	[  7.73 826.99]	[2166.21 -519.74]	[1.   3.28 9.  ]	[2173.94    7.73  819.26]	5786610522.436306	9023537994.468697	1.9320463951482507e-07	3	1	7883212134.720935	5786610522.436306	1118
	(0.38, 0.57)							('NCRTinterceptNumDis',)	520467.25	157872.7086447011	0.24	0.24	3.15	0.23	[108.35 663.19]	[1682.86  -66.05]	[1.   3.15 9.  ]	[1791.21  108.35  554.84]	10136784555.416222	16640869249.528276	3.1055212654371555e-07	3	1	12192028143.880667	10136784555.416222	3148
				(0.16, 0.44)				('NCtimeCmean',)	556715.32	301421.5804	0.23	0.23	3.28	0.23	[ 96.83 687.67]	[1746.06 -191.69]	[1.   3.28 9.  ]	[1842.89   96.83  590.84]	9994118410.79328	16332276906.796787	2.993760807125069e-07	3	1	12138244322.490839	9994118410.79328	2992
					(0.01, 0.02)			('NCIES',)	445490.38	445490.38	0.14	0.14	3.47	0.2	[ 28.62 401.35]	[ 987.99 -304.01]	[1.   3.47 9.  ]	[1016.6    28.62  372.74]	993033089.8411093	2169647937.239155	1.8106143877720026e-06	3	1	2377631629.8640556	993033089.8411093	1798
					(0.03, 0.38)		(0.06, 0.3)	('NCIES', 'SSPreOrdmax')	613560.01	185476.68669642857	0.13	0.13	2.69	0.43	[ 14.78 682.28]	[1906.55  109.04]	[1.   2.69 9.  ]	[1921.33   14.78  667.5 ]	6811577842.684573	10686906118.23091	2.441431395790347e-07	3	1	8665195714.923391	6811577842.684573	1663
						(0.07, 0.15)		('NCtimeCmedian',)	419366.92	292853.9944134078	0.23	0.23	3.42	0.19	[ 46.96 416.03]	[1027.54 -234.74]	[1.   3.42 9.  ]	[1074.49   46.96  369.07]	2502036425.539132	4685601658.993965	1.1918291714547868e-06	3	1	4114569421.6447773	2502036425.539132	2982
							(0.57, 1.0)	('SSPreOrdmax',)	337418.51	216051.13778061225	0.25	0.25	3.77	0.33	[109.64 409.41]	[1039.46  -90.82]	[1.   3.77 9.  ]	[1149.09  109.64  299.78]	4939634206.748344	7273187832.133092	6.692803275763752e-07	3	1	6305604344.732479	4939634206.748344	3306
