SSAnsCprop	NCPreOrdmax	SAAnsCprop	SStimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.03, 1.0)				('SSAnsCprop',)	-17588.08	-inf	1.0	1.0	3.59	0.0	[ 86.7  629.57 247.94 881.47]	[ 1317.95  -630.51  2132.21 -3234.94]	[1.   3.59 7.24 8.47 9.  ]	[1404.66   86.7   542.87 -381.64  633.53]	58647963312.63868	94410016711.28767	4.4507939450260133e-07	7	3	58758480696.054756	58647963312.63868	26103
(0.03, 1.0)	(52.0, 52.0)			('SSAnsCprop', 'NCPreOrdmax')	-17588.08	-1758.808	1.0	1.0	3.59	0.0	[ 8.6710000e+01  6.2958000e+02 -1.0542618e+05  6.7869480e+04]	[ 1.3179500e+03 -6.3052000e+02  8.4752512e+05 -6.0612701e+05]	[1.   3.59 8.   8.39 9.  ]	"[ 1.4046600e+03  8.6710000e+01  5.4287000e+02 -1.0605575e+05
  1.7329565e+05]"	58647963312.702156	94410016711.28767	4.4507939450211963e-07	7	3	58758480696.054756	58647963312.702156	26103
(0.03, 1.0)		(0.21, 1.0)		('SSAnsCprop', 'SAAnsCprop')	-17588.08	-175.88080000000008	1.0	1.0	3.59	0.0	[  86.71  629.58  291.93 2144.16]	[  1317.95   -630.52   1780.26 -14599.16]	[1.   3.59 7.14 8.84 9.  ]	[1404.66   86.71  542.87 -337.65 1852.23]	58647963312.68758	94410016711.28767	4.450793945022302e-07	7	3	58758480696.054756	58647963312.68758	26103
(0.03, 1.0)	(52.0, 52.0)	(0.21, 1.0)		('SSAnsCprop', 'NCPreOrdmax', 'SAAnsCprop')	-17588.08	-17.58808000000001	1.0	1.0	3.59	0.0	[ 86.7  629.57 178.07 598.22]	[1317.95 -630.51 2691.15 -685.71]	[1.   3.59 7.36 8.04 9.  ]	[1404.66   86.7   542.87 -451.51  420.15]	58647963312.63857	94410016711.28767	4.450793945026022e-07	7	3	58758480696.054756	58647963312.63857	26103
(0.09, 1.0)	(52.0, 52.0)	(0.21, 1.0)		('SSAnsCprop', 'NCPreOrdmax', 'SAAnsCprop', 'SSAnsCprop')	-30612.14	-3.061214	1.0	1.0	3.44	14.05	[  86.73  563.49 1251.24  426.66]	[ 1317.79  -322.58 -4654.05   805.97]	[1.   3.44 6.3  6.62 9.  ]	[1404.52   86.73  476.76  687.75 -824.58]	58649029232.79271	94392749508.94202	4.448155466725661e-07	7	3	58756496020.50105	58649029232.79271	26088
(0.03, 1.0)			(0.01, 0.04)	('SSAnsCprop', 'SStimeCmean')	-33088.94	-0.3328156642949548	1.0	1.0	3.59	0.0	[ 86.48 629.73 238.03 768.61]	[ 1318.    -631.16  2211.34 -2218.68]	[1.   3.59 7.26 8.35 9.  ]	[1404.48   86.48  543.25 -391.7   530.58]	58636286408.07049	94389696215.94995	4.448610510301647e-07	7	3	58747124061.53522	58636286408.07049	26085
(0.03, 1.0)	(52.0, 52.0)		(0.01, 0.04)	('SSAnsCprop', 'NCPreOrdmax', 'SStimeCmean')	-33088.94	-0.033281566429495486	1.0	1.0	3.59	0.0	[   86.49   629.73 -4885.42  4977.91]	[  1317.99   -631.16  43198.95 -40102.43]	[1.   3.59 7.95 8.45 9.  ]	[ 1404.48    86.49   543.25 -5515.16  9863.34]	58636286408.076645	94389696215.94995	4.44861051030118e-07	7	3	58747124061.53522	58636286408.076645	26085
(0.03, 1.0)		(0.21, 1.0)	(0.01, 0.04)	('SSAnsCprop', 'SAAnsCprop', 'SStimeCmean')	-33088.94	-0.0033281566429495483	1.0	1.0	3.59	0.0	[  86.48  629.73 -133.16 6001.2 ]	[  1318.     -631.16   5180.85 -49312.04]	[1.   3.59 7.62 8.88 9.  ]	[1404.48   86.48  543.25 -762.89 6134.36]	58636286408.070724	94389696215.94995	4.44861051030163e-07	7	3	58747124061.53522	58636286408.070724	26085
(0.03, 1.0)			(0.01, 0.02)	('SStimeCmean', 'SStimeCmean', 'SSAnsCprop')	-33088.94	-0.000332815664294955	1.0	1.0	3.59	0.0	[ 86.48 629.73 260.1  585.64]	[1318.   -631.16 2034.77 -572.02]	[1.   3.59 7.21 8.01 9.  ]	[1404.48   86.48  543.25 -369.63  325.55]	58636286408.09139	94389696215.94995	4.448610510300061e-07	7	3	58747124061.53522	58636286408.09139	26085
(0.03, 1.0)	(52.0, 52.0)	(0.21, 1.0)	(0.01, 0.04)	('SSAnsCprop', 'NCPreOrdmax', 'SAAnsCprop', 'SStimeCmean')	-33088.94	-3.3281566429495486e-05	1.0	1.0	3.59	21.0	[ 86.48 629.73  31.74 583.23]	[1318.   -631.16 3824.2  -550.27]	[1.   3.59 7.45 7.93 9.  ]	[1404.48   86.48  543.25 -597.99  551.49]	58636286408.070465	94389696215.94995	4.448610510301649e-07	7	3	58747124061.53522	58636286408.070465	26085
