SSAnsCprop	NCPreOrdmax	SAAnsCprop	SStimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.03, 1.0)				('SSAnsCprop',)	-17588.08	-inf	1.0	1.0	3.59	0.0	[  86.7   629.57  300.65 1311.1 ]	[ 1317.95  -630.51  1710.5  -7101.6 ]	[1.   3.59 7.12 8.72 9.  ]	[1404.66   86.7   542.87 -328.92 1010.45]	58647963312.63874	94410016711.28767	4.450793945026009e-07	7	3	58758480693.03232	58647963312.63874	26103
(0.03, 1.0)	(52.0, 52.0)			('SSAnsCprop', 'NCPreOrdmax')	-17588.08	-8794.04	1.0	1.0	3.59	0.0	[   86.7    629.57 -1897.67  6756.8 ]	[  1317.95   -630.51  19297.07 -56112.95]	[1.   3.59 7.89 8.71 9.  ]	[ 1404.66    86.7    542.87 -2527.25  8654.47]	58647963312.64091	94410016711.28767	4.450793945025844e-07	7	3	58758480693.03232	58647963312.64091	26103
(0.03, 1.0)		(0.21, 1.0)		('SSAnsCprop', 'SAAnsCprop')	-17588.08	-4397.02	1.0	1.0	3.59	0.0	[  86.71  629.57  267.63 1011.54]	[ 1317.95  -630.51  1974.65 -4405.59]	[1.   3.59 7.2  8.58 9.  ]	[1404.66   86.71  542.87 -361.94  743.91]	58647963312.64676	94410016711.28767	4.4507939450254e-07	7	3	58758480693.03232	58647963312.64676	26103
(0.03, 1.0)	(52.0, 52.0)	(0.21, 1.0)		('SSAnsCprop', 'NCPreOrdmax', 'SAAnsCprop')	-17588.08	-2198.51	1.0	1.0	3.59	20.98	[    86.7     629.57 -38146.25    582.58]	[  1317.95   -630.51 275141.85   -544.93]	[1.   3.59 7.11 7.12 9.  ]	[  1404.66     86.7     542.87 -38775.82  38728.82]	58647963312.63912	94410016711.28767	4.4507939450259794e-07	7	3	58758480693.03232	58647963312.63912	26103
	(52.0, 52.0)		(0.01, 0.04)	('SStimeCmean', 'NCPreOrdmax')	-18493.59	-583.5283528603749	1.0	1.0	3.59	20.98	[ 86.66 629.6  264.25 582.66]	[1317.64 -630.75 1941.84 -545.65]	[1.   3.59 7.04 7.81 9.  ]	[1404.3    86.66  542.94 -365.35  318.41]	58641425216.518005	94410539605.31314	4.4511196485462705e-07	7	3	58751966613.20001	58641425216.518005	26102
	(52.0, 52.0)		(0.01, 0.02)	('SStimeCmean', 'NCPreOrdmax', 'SStimeCmean')	-18493.59	-145.88208821509372	1.0	1.0	3.59	0.0	[ 86.66 629.6  310.76 604.63]	[1317.64 -630.75 1629.5  -743.41]	[1.   3.59 7.09 8.07 9.  ]	[1404.3    86.66  542.94 -318.84  293.87]	58641425216.51567	94410539605.31314	4.451119648546448e-07	7	3	58751966613.20001	58641425216.51567	26102
	(52.0, 52.0)	(0.21, 1.0)	(0.01, 0.02)	('SStimeCmean', 'NCPreOrdmax', 'SStimeCmean', 'SAAnsCprop')	-18493.59	-36.47052205377343	1.0	1.0	3.59	20.98	[ 86.66 629.6  297.44 582.66]	[1317.64 -630.75 1694.83 -545.65]	[1.   3.59 7.   7.86 9.  ]	[1404.3    86.66  542.94 -332.16  285.21]	58641425216.51567	94410539605.31314	4.451119648546448e-07	7	3	58751966613.20001	58641425216.51567	26102
		(0.21, 1.0)	(0.01, 0.02)	('SStimeCmean', 'SStimeCmean', 'SAAnsCprop')	-18493.59	-72.94104410754686	1.0	1.0	3.59	20.98	[   86.66   629.6  -9732.6    582.66]	[ 1317.64  -630.75 71908.59  -545.65]	[1.   3.59 7.   7.02 9.  ]	[  1404.3      86.66    542.94 -10362.19  10315.25]	58641425216.554245	94410539605.31314	4.451119648543519e-07	7	3	58751966613.20001	58641425216.554245	26102
			(0.01, 0.04)	('SStimeCmean',)	-18493.59	-1167.0567057207497	1.0	1.0	3.59	20.98	[ 86.66 629.6  289.94 582.66]	[1317.64 -630.75 1760.26 -545.65]	[1.   3.59 7.04 7.88 9.  ]	[1404.3    86.66  542.94 -339.66  292.71]	58641425216.51644	94410539605.31314	4.4511196485463885e-07	7	3	58751966613.20001	58641425216.51644	26102
			(0.01, 0.02)	('SStimeCmean', 'SStimeCmean')	-18493.59	-291.76417643018743	1.0	1.0	3.59	0.0	[  86.66  629.6   105.39 1863.58]	[  1317.64   -630.75   3272.47 -12073.93]	[1.   3.59 7.45 8.73 9.  ]	[1404.3    86.66  542.94 -524.21 1758.19]	58641425216.51568	94410539605.31314	4.451119648546447e-07	7	3	58751966613.20001	58641425216.51568	26102
