NCtimeCmean	SAtimeCmean	CAAnsCsum	SSAnsCsum	NCRTinterceptNumRatio	CAPreOrdmax	NCtimeCmedian	grade	NCIES	NCRTinterceptNumDis	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.23, 1.0)	(0.71, 1.0)									('NCtimeCmean', 'NCtimeCmean', 'SAtimeCmean')	4757200931022.83	-inf	0.05	0.05	3.3	99.61	[150.93 880.69 552.32]	[2141.62 -266.05 2032.53]	[1.  3.3 7.  9. ]	[2292.55  150.93  729.76 -328.37]	74999943971.3082	111380726119.6582	1.661867908163798e-07	5	2	110632198024.80388	74999943971.3082	12464
(0.19, 1.0)		(0.0, 0.32)								('NCtimeCmean', 'NCtimeCmean', 'CAAnsCsum')	3924421678221.11	2367956131265.619	0.1	0.1	3.32	0.0	[ 122.8   843.23  421.04 1307.94]	[ 1980.32  -408.24  2554.26 -5138.18]	[1.   3.32 7.02 8.67 9.  ]	[2103.12  122.8   720.42 -422.19  886.9 ]	117347294702.42572	183105996371.5044	2.1305135379046108e-07	7	3	163274327625.37	117347294702.42572	25001
(0.16, 1.0)			(0.0, 0.32)							('NCtimeCmean', 'SSAnsCsum')	3236380092266.52	1358030929731.1377	0.12	0.12	3.34	25.95	[  128.43   822.42 -1535.22   699.05]	[ 1860.73  -453.97 17132.39   138.82]	[1.   3.34 7.46 7.61 9.  ]	[ 1989.16   128.43   693.99 -2357.64  2234.27]	133656613151.11859	213938644436.01157	2.39022965245118e-07	7	3	179778543566.49393	133656613151.11859	31947
(0.12, 1.0)										('NCtimeCmean',)	751969997781.0	15642662108.790182	0.49	0.49	3.5	0.0	[ 107.04  711.34  308.01 1141.02]	[ 1552.58  -563.59  2284.82 -4801.14]	[1.   3.5  7.06 8.51 9.  ]	[1659.62  107.04  604.3  -403.33  833.01]	365264831827.68695	595643077223.6378	3.5019522509175806e-07	7	3	398959903061.63104	365264831827.68695	127914
(0.0, 0.12)										('NCtimeCmean',)	266396066584.58	9458527317.19946	0.51	0.51	3.63	0.0	[  70.41  533.65   69.27 1260.37]	[ 1093.49  -589.36  2847.83 -7360.79]	[1.   3.63 7.4  8.57 9.  ]	[1163.9    70.41  463.24 -464.37 1191.09]	148104159255.96277	278538807974.4813	9.006431734943302e-07	7	3	180118027384.30106	148104159255.96277	133389
	(0.71, 1.0)									('SAtimeCmean',)	959297290119.19	699718921.2720327	0.38	0.38	3.44	0.0	[107.88 733.6  329.18 898.11]	[ 1544.15  -608.83  2242.83 -2513.08]	[1.   3.44 7.05 8.36 9.  ]	[1652.02  107.88  625.72 -404.42  568.93]	294049367656.44806	487256195101.3379	3.400347390538163e-07	7	3	328027406711.97595	294049367656.44806	99987
				(0.41, 1.0)						('NCRTinterceptNumRatio',)	1935791633760.34	923714099126.4058	0.24	0.24	3.47	16.69	[ 126.47  763.15 -304.96  761.05]	[1682.93 -524.44 7103.94 -913.84]	[1.   3.47 7.14 7.52 9.  ]	[ 1809.4    126.47   636.68 -1068.1   1066.01]	225444496393.01505	361200877529.7986	2.8540505991253616e-07	7	3	269589756959.52704	225444496393.01505	64343
				(0.0, 0.36)						('NCRTinterceptNumRatio',)	375243901061.37	353346829826.129	0.3	0.3	3.64	0.0	[  61.73  496.14 -381.98  983.33]	[ 1041.2   -539.94  6232.05 -5114.17]	[1.   3.64 7.71 8.31 9.  ]	[1102.93   61.73  434.41 -878.12 1365.31]	79623334890.75836	145938483962.82422	9.811445364249291e-07	7	3	112306404555.39711	79623334890.75836	78122
				(0.38, 1.0)						('NCRTinterceptNumRatio',)	691391149381.05	90645879.91024992	0.48	0.48	3.51	0.0	[ 108.74  712.13   51.13 1280.85]	[ 1534.25  -581.44  4326.9  -6073.6 ]	[1.   3.51 7.43 8.46 9.  ]	[1642.99  108.74  603.39 -661.   1229.72]	347742822339.2959	574672529380.4536	3.620031584064554e-07	7	3	379280095701.3656	347742822339.2959	125884
				(0.0, 0.38)						('NCRTinterceptNumRatio',)	270070080946.06	51177640.183832504	0.52	0.52	3.63	0.0	[  69.5   536.25  -75.15 1113.62]	[ 1116.74  -575.64  4035.14 -6002.47]	[1.   3.63 7.54 8.44 9.  ]	[1186.24   69.5   466.75 -611.4  1188.77]	170767834371.79114	304655317593.3931	7.930006285912685e-07	7	3	199797834744.56653	170767834371.79114	135419
					(0.0, 0.2)					('CAPreOrdmax',)	1549186640017.34	716178660962.9027	0.26	0.26	3.42	0.0	[  114.56   775.2  -1057.82  4539.18]	[  1605.38   -653.36  13605.66 -35033.38]	[1.   3.42 7.78 8.69 9.  ]	[ 1719.94   114.56   660.63 -1833.02  5597.  ]	218411912715.97583	362088726383.9683	3.066316263027777e-07	7	3	257156556862.1818	218411912715.97583	66972
					(0.33, 1.0)					('CAPreOrdmax',)	356213271813.49	940904603.8131251	0.24	0.24	3.69	0.0	[ 64.65 474.65  95.29 664.96]	[ 1090.84  -420.77  2372.33 -2269.2 ]	[1.   3.69 7.36 8.15 9.  ]	[1155.49   64.65  410.   -379.36  569.67]	66919155256.45669	116607102022.41702	9.449013478677926e-07	7	3	93578614201.5488	66919155256.45669	63232
						(0.24, 1.0)				('NCtimeCmedian',)	1874464393142.0	284712165080.28204	0.25	0.25	3.46	15.97	[  118.44   763.52 -5392.62   734.15]	[ 1707.85  -524.74 47013.37  -676.42]	[1.   3.46 7.72 7.78 9.  ]	[ 1826.29   118.44   645.08 -6156.14  6126.77]	219111903310.78027	358658931712.21155	3.025394741150904e-07	7	3	265121191378.21756	219111903310.78027	66290
