NCtimeCmean	grade	SAPreOrdmax	NCIES	CAtimeCmedian	SSPreOrdmax	NCRTinterceptNumDis	SSAnsCsum	NCtimeCmedian	NCRTinterceptNumRatio	SAAnsCsum	SAtimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.12)	['4', '5', '6', '7', '8', '9']	(0.51, 1.0)										('NCtimeCmean', 'grade', 'SAPreOrdmax')	24340.73	-inf	0.33	0.33	3.67	6.85	[   62.15   490.6  -2893.61   549.23]	[ 1038.87  -533.05 25332.99 -1242.06]	[1.   3.67 7.64 7.72 9.  ]	[ 1101.03    62.15   428.44 -3384.2   3442.84]	70864459619.75494	142287586880.8519	1.21771901547026e-06	7	3	109290695830.48958	70864459619.75494	86293
(0.16, 1.0)												('NCtimeCmean',)	14869.32	14869.32	0.23	0.23	3.45	0.0	[121.54 770.49 303.03 905.52]	[ 1736.14  -503.45  2846.8  -2170.58]	[1.   3.45 7.17 8.33 9.  ]	[1857.68  121.54  648.96 -467.47  602.49]	217941964789.73407	348675688345.6934	2.8071234495396166e-07	7	3	265857273728.4672	217941964789.73407	61179
(0.0, 0.12)												('NCtimeCmean',)	20032.96	8413.641711843096	0.51	0.51	3.63	6.54	[  70.41  533.65 -279.97  580.49]	[ 1093.49  -589.36  5516.26 -1241.86]	[1.   3.63 7.5  7.85 9.  ]	[1163.9    70.41  463.24 -813.62  860.46]	148104159255.96124	278538807974.4813	9.006431734943396e-07	7	3	180118029037.03778	148104159255.96124	133389
(0.12, 1.0)												('NCtimeCmean',)	9838.67	5613.475897238449	0.49	0.49	3.5	0.0	[ 107.04  711.34   89.39 1515.86]	[ 1552.58  -563.59  4033.79 -8174.75]	[1.   3.5  7.39 8.56 9.  ]	[1659.62  107.04  604.29 -621.95 1426.48]	365264831827.74023	595643077223.6378	3.5019522509170703e-07	7	3	398959901408.90564	365264831827.74023	127914
(0.0, 0.12)				(0.12, 0.14)								('NCtimeCmean', 'CAtimeCmedian')	21057.89	82.42659800000003	0.49	0.49	3.65	0.0	[ 70.06 526.66 -50.04 792.37]	[ 1084.39  -581.04  3759.69 -3189.41]	[1.   3.65 7.53 8.25 9.  ]	[1154.45   70.06  456.61 -576.7   842.41]	135794127433.95255	256677648699.1643	9.344292157384838e-07	7	3	169856169346.617	135794127433.95255	126890
		(0.5, 1.0)										('SAPreOrdmax',)	14315.44	0.00028294113252035275	0.51	0.51	3.67	0.0	[ 71.87 531.08 230.36 783.15]	[ 1137.73  -545.65  1589.21 -3020.69]	[1.   3.67 7.1  8.34 9.  ]	[1209.6    71.87  459.21 -300.71  552.79]	170658296782.92358	298731048709.65173	7.738152934221361e-07	7	3	198283628806.78238	170658296782.92358	132058
			(0.0, 0.03)									('NCIES',)	19528.2	828.3969339732781	0.5	0.5	3.65	0.0	[  69.96  530.91 -230.4   856.18]	[ 1090.56  -591.06  5227.07 -3747.1 ]	[1.   3.65 7.64 8.26 9.  ]	[1160.51   69.96  460.96 -761.31 1086.58]	145090549575.05087	269824059702.55188	8.915742643395707e-07	7	3	178023396058.4925	145090549575.05087	129359
			(0.03, 1.0)									('NCIES',)	9279.17	521.1464411212551	0.5	0.5	3.49	0.0	[106.22 708.88  69.48 806.49]	[ 1541.25  -563.6   4168.82 -1811.15]	[1.   3.49 7.4  8.11 9.  ]	[1647.47  106.22  602.65 -639.4   737.  ]	368337751286.75146	604714234908.1765	3.58214707938751e-07	7	3	401054534387.4509	368337751286.75146	131944
					(0.0, 0.36)							('SSPreOrdmax',)	11643.83	49.369839200000015	0.25	0.25	3.4	0.0	[ 116.6   769.38   78.11 1664.73]	[ 1613.6   -603.98  4524.66 -9116.22]	[1.   3.4  7.42 8.6  9.  ]	[1730.21  116.6   652.78 -691.28 1586.63]	211935251285.42853	351667203182.1659	3.059000312915731e-07	7	3	251150497839.83673	211935251285.42853	64831
						(0.35, 1.0)						('NCRTinterceptNumDis',)	9073.54	32.71732581790764	0.48	0.48	3.5	0.0	[108.65 710.33  97.62 902.94]	[ 1540.61  -564.74  3966.45 -2665.19]	[1.   3.5  7.4  8.23 9.  ]	[1649.26  108.65  601.68 -612.71  805.33]	350829584558.12634	578246990826.1455	3.5936536013288075e-07	7	3	383240718855.72974	350829584558.12634	126076
