SStimeCmean	NCAnsCsum	NCPreOrdmax	NCAnsCprop	SAAnsCprop	SSAnsCprop	CAtimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.01, 1.0)							('SStimeCmean',)	-2094.76	-inf	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.5905	930674192807.8666	4.512661921524617e-07	3	1	579008588929.4285	579008586381.5905	261287
(0.01, 1.0)	(0.0, 1.0)						('SStimeCmean', 'NCAnsCsum')	-2094.76	-209.47600000000008	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.6074	930674192807.8666	4.5126619215244845e-07	3	1	579008588929.4285	579008586381.6074	261287
(0.01, 1.0)		(52.0, 52.0)					('SStimeCmean', 'NCPreOrdmax')	-2094.76	-20.947600000000012	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.5592	930674192807.8666	4.51266192152486e-07	3	1	579008588929.4285	579008586381.5592	261287
(0.01, 1.0)			(0.0, 1.0)				('SStimeCmean', 'NCAnsCprop')	-2094.76	-2.0947600000000013	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.5646	930674192807.8666	4.512661921524818e-07	3	1	579008588929.4285	579008586381.5646	261287
(0.01, 1.0)				(0.0, 1.0)			('SStimeCmean', 'SAAnsCprop')	-2094.76	-0.2094760000000001	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.5504	930674192807.8666	4.512661921524929e-07	3	1	579008588929.4285	579008586381.5504	261287
(0.01, 1.0)					(0.0, 1.0)		('SStimeCmean', 'SSAnsCprop')	-2094.76	-0.0209476	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.5466	930674192807.8666	4.5126619215249584e-07	3	1	579008588929.4285	579008586381.5466	261287
(0.01, 1.0)	(0.0, 1.0)	(52.0, 52.0)					('SStimeCmean', 'NCAnsCsum', 'NCPreOrdmax')	-2094.76	-0.002094760000000001	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.5641	930674192807.8666	4.512661921524822e-07	3	1	579008588929.4285	579008586381.5641	261287
(0.01, 1.0)	(0.0, 1.0)		(0.0, 1.0)				('SStimeCmean', 'NCAnsCsum', 'NCAnsCprop')	-2094.76	-0.00020947600000000013	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.577	930674192807.8666	4.512661921524721e-07	3	1	579008588929.4285	579008586381.577	261287
(0.01, 1.0)	(0.0, 1.0)			(0.0, 1.0)			('SStimeCmean', 'NCAnsCsum', 'SAAnsCprop')	-2094.76	-2.094760000000002e-05	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.546	930674192807.8666	4.512661921524963e-07	3	1	579008588929.4285	579008586381.546	261287
(0.01, 1.0)	(0.0, 1.0)				(0.0, 1.0)		('SStimeCmean', 'NCAnsCsum', 'SSAnsCprop')	-2094.76	-2.0947600000000013e-06	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.6467	930674192807.8666	4.512661921524178e-07	3	1	579008588929.4285	579008586381.6467	261287
(0.01, 1.0)		(52.0, 52.0)	(0.0, 1.0)				('SStimeCmean', 'NCPreOrdmax', 'NCAnsCprop')	-2094.76	-2.0947600000000015e-07	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.5845	930674192807.8666	4.5126619215246635e-07	3	1	579008588929.4285	579008586381.5845	261287
(0.01, 1.0)		(52.0, 52.0)		(0.0, 1.0)			('SStimeCmean', 'NCPreOrdmax', 'SAAnsCprop')	-2094.76	-2.094760000000002e-08	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.5874	930674192807.8666	4.5126619215246407e-07	3	1	579008588929.4285	579008586381.5874	261287
(0.01, 1.0)		(52.0, 52.0)			(0.0, 1.0)		('SStimeCmean', 'NCPreOrdmax', 'SSAnsCprop')	-2094.76	-2.0947600000000007e-09	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.561	930674192807.8666	4.5126619215248456e-07	3	1	579008588929.4285	579008586381.561	261287
(0.01, 1.0)			(0.0, 1.0)	(0.0, 1.0)			('SStimeCmean', 'NCAnsCprop', 'SAAnsCprop')	-2094.76	-2.094760000000001e-10	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.76]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586382.4442	930674192807.8666	4.512661921517963e-07	3	1	579008588929.4285	579008586382.4442	261287
(0.01, 1.0)			(0.0, 1.0)		(0.0, 1.0)		('SStimeCmean', 'NCAnsCprop', 'SSAnsCprop')	-2094.76	-2.094760000000002e-11	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.6832	930674192807.8666	4.512661921523894e-07	3	1	579008588929.4285	579008586381.6832	261287
(0.01, 1.0)				(0.0, 1.0)	(0.0, 1.0)		('SStimeCmean', 'SAAnsCprop', 'SSAnsCprop')	-2094.76	-2.0947600000000015e-12	1.0	1.0	3.34	0.03	[ 88.11 550.74]	[1318.35 -226.77]	[1.   3.34 9.  ]	[1406.46   88.11  462.63]	579008586381.7477	930674192807.8666	4.512661921523391e-07	3	1	579008588929.4285	579008586381.7477	261287
(0.01, 1.0)						(0.0, 0.01)	('CAtimeCmean', 'SStimeCmean')	-57612.03	-5.7612030000000035e-12	1.0	1.0	3.34	0.03	[ 88.23 550.07]	[1315.69 -227.73]	[1.   3.34 9.  ]	[1403.92   88.23  461.84]	572549123976.1415	922330744200.6393	4.5519063620270284e-07	3	1	572554912233.6697	572549123976.1415	260619
(0.01, 1.0)	(0.0, 1.0)					(0.0, 0.01)	('CAtimeCmean', 'SStimeCmean', 'NCAnsCsum')	-57612.03	-5.761203000000009e-13	1.0	1.0	3.34	0.03	[ 88.23 550.07]	[1315.69 -227.73]	[1.   3.34 9.  ]	[1403.92   88.23  461.84]	572549123976.2853	922330744200.6393	4.551906362025885e-07	3	1	572554912233.6697	572549123976.2853	260619
(0.01, 1.0)		(52.0, 52.0)				(0.0, 0.01)	('CAtimeCmean', 'SStimeCmean', 'NCPreOrdmax')	-57612.03	-5.761203000000006e-14	1.0	1.0	3.34	0.03	[ 88.23 550.07]	[1315.69 -227.73]	[1.   3.34 9.  ]	[1403.92   88.23  461.84]	572549123976.1549	922330744200.6393	4.5519063620269214e-07	3	1	572554912233.6697	572549123976.1549	260619
(0.01, 1.0)			(0.0, 1.0)			(0.0, 0.01)	('CAtimeCmean', 'SStimeCmean', 'NCAnsCprop')	-57612.03	-5.761203000000005e-15	1.0	1.0	3.34	0.03	[ 88.23 550.07]	[1315.69 -227.73]	[1.   3.34 9.  ]	[1403.92   88.23  461.84]	572549123976.2267	922330744200.6393	4.55190636202635e-07	3	1	572554912233.6697	572549123976.2267	260619
