SSIES	NCPreOrdmax	SAAnsCprop	SSAnsCprop	SStimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.16, 0.23)					('SSIES',)	-100690.48	-inf	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.036217	44860049941.73617	4.6707194263937156e-07	3	1	27786122641.4106	27785869403.036217	12978
(0.16, 0.23)	(52.0, 52.0)				('SSIES', 'NCPreOrdmax')	-100690.48	-50345.24	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.13]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021294	44860049941.73617	4.670719426396224e-07	3	1	27786122641.4106	27785869403.021294	12978
(0.16, 0.23)		(0.21, 1.0)			('SSIES', 'SAAnsCprop')	-100690.48	-25172.62	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.031746	44860049941.73617	4.6707194263944673e-07	3	1	27786122641.4106	27785869403.031746	12978
(0.16, 0.23)			(0.09, 1.0)		('SSIES', 'SSAnsCprop')	-100690.48	-12586.31	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.036964	44860049941.73617	4.6707194263935896e-07	3	1	27786122641.4106	27785869403.036964	12978
(0.16, 0.23)				(0.01, 0.02)	('SSIES', 'SStimeCmean')	-100690.48	-6293.155	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.02175	44860049941.73617	4.6707194263961466e-07	3	1	27786122641.4106	27785869403.02175	12978
(0.16, 0.23)	(52.0, 52.0)	(0.21, 1.0)			('SSIES', 'NCPreOrdmax', 'SAAnsCprop')	-100690.48	-3146.5775	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.0212	44860049941.73617	4.67071942639624e-07	3	1	27786122641.4106	27785869403.0212	12978
(0.16, 0.23)	(52.0, 52.0)		(0.09, 1.0)		('SSIES', 'NCPreOrdmax', 'SSAnsCprop')	-100690.48	-1573.28875	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.023293	44860049941.73617	4.670719426395887e-07	3	1	27786122641.4106	27785869403.023293	12978
(0.16, 0.23)	(52.0, 52.0)			(0.01, 0.02)	('SSIES', 'NCPreOrdmax', 'SStimeCmean')	-100690.48	-786.644375	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021225	44860049941.73617	4.670719426396235e-07	3	1	27786122641.4106	27785869403.021225	12978
(0.16, 0.23)		(0.21, 1.0)	(0.09, 1.0)		('SSIES', 'SAAnsCprop', 'SSAnsCprop')	-100690.48	-393.3221875	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021297	44860049941.73617	4.670719426396223e-07	3	1	27786122641.4106	27785869403.021297	12978
(0.16, 0.23)		(0.21, 1.0)		(0.01, 0.02)	('SSIES', 'SAAnsCprop', 'SStimeCmean')	-100690.48	-196.66109375	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.13]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.02136	44860049941.73617	4.670719426396213e-07	3	1	27786122641.4106	27785869403.02136	12978
