NCtimeCmean	NCAnsCsum	CAAnsCsum	NCIES	NCtimeCmedian	NCRTinterceptNumRatio	NCRTinterceptNumDis	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)					('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.680976	6223640788.466258	1.473959288336657e-06	3	1	4221076062.220885	2764662519.680976	4075
(0.12, 0.44)							('NCtimeCmean',)	474.09	278.8688301369863	0.47	0.47	3.18	0.16	[ 93.47 619.36]	[1543.99 -129.4 ]	[1.   3.18 9.  ]	[1637.46   93.47  525.89]	17073692533.673656	28138557956.23493	3.644788605468128e-07	3	1	18649870387.46131	17073692533.673656	6223
(0.04, 0.12)							('NCtimeCmean',)	944.78	153.81111253071253	0.53	0.53	3.63	0.15	[ 93.67 474.25]	[1067.09 -313.03]	[1.   3.63 9.  ]	[1160.75   93.67  380.58]	7524230736.864675	13901651663.332743	9.022849295061566e-07	3	1	9018370489.714115	7524230736.864675	6789
	(0.29, 0.98)					(0.27, 0.35)	('NCRTinterceptNumDis', 'NCAnsCsum')	919.68	4.318315636363636	0.43	0.43	3.46	0.13	[ 58.95 482.83]	[1136.39 -330.49]	[1.   3.46 9.  ]	[1195.34   58.95  423.88]	5299696405.990721	10668338444.547976	1.0343988749625743e-06	3	1	6351133995.287687	5299696405.990721	5482
			(0.04, 0.38)				('NCIES',)	682.5	682.5	0.21	0.21	3.23	0.24	[ 93.61 685.29]	[1762.72 -147.34]	[1.   3.23 9.  ]	[1856.33   93.61  591.68]	9642060781.270878	15630130713.573212	2.9112033865752313e-07	3	1	11764674886.724762	9642060781.270878	2807
			(0.03, 0.38)				('NCIES',)	452.33	2.2275752732095495	0.49	0.49	3.25	0.16	[107.26 623.3 ]	[1506.15 -172.89]	[1.   3.25 9.  ]	[1613.41  107.26  516.04]	17280538225.1096	28689539453.66276	3.7064817753726983e-07	3	1	18813150792.240795	17280538225.1096	6405
			(0.01, 0.03)				('NCIES',)	878.6	1.5388778589420657	0.51	0.51	3.54	0.15	[ 80.04 469.48]	[1095.53 -284.26]	[1.   3.54 9.  ]	[1175.58   80.04  389.43]	7596990110.649297	13755019383.455202	8.741619909035803e-07	3	1	9076401260.011097	7596990110.649297	6641
				(0.09, 0.18)	(0.3, 0.38)		('NCtimeCmedian', 'NCRTinterceptNumRatio', 'NCtimeCmedian')	1152.34	504.97447133757953	0.41	0.41	3.5	0.14	[ 61.61 457.81]	[1072.91 -313.48]	[1.  3.5 9. ]	[1134.51   61.61  396.21]	4661238016.279577	9237916290.768024	1.121804975789155e-06	3	1	6327486370.63389	4661238016.279577	5229
					(0.38, 0.58)		('NCRTinterceptNumRatio',)	474.07	26.435428813559326	0.46	0.46	3.2	0.17	[102.95 623.7 ]	[1510.71 -155.45]	[1.  3.2 9. ]	[1613.67  102.95  520.75]	16794588527.67844	27653237844.162632	3.5844879379323264e-07	3	1	18322219450.70345	16794588527.67844	6020
					(0.32, 0.38)		('NCRTinterceptNumRatio', 'NCRTinterceptNumRatio')	911.24	18.34615157384988	0.53	0.53	3.62	0.15	[ 88.83 476.4 ]	[1102.24 -300.99]	[1.   3.62 9.  ]	[1191.07   88.83  387.57]	7715359501.957399	14229861311.571903	8.949680177894743e-07	3	1	9080246905.813745	7715359501.957399	6905
