CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	NCRTinterceptNumRatio	NCtimeCmean	CAAnsCsum	NCIES	NCtimeCmedian	SSPreOrdmax	SAtimeCmedian	SSAnsCprop	SAIES	SAPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)											('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	5385204320450.49	-inf	0.05	0.05	3.32	0.47	[ 26.32 927.79]	[2267.76 -726.5 ]	[1.   3.32 9.  ]	[2294.08   26.32  901.47]	3894791537.909075	6144712454.443547	1.5918695364446848e-07	3	1	5822008064.643724	3894791537.909075	620
(0.06, 0.16)	(0.4, 0.57)					(0.04, 0.38)							('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax')	5229490187457.74	4556537371229.625	0.05	0.05	3.46	0.6	[185.37 885.59]	[1926.2  -493.48]	[1.   3.46 9.  ]	[2111.57  185.37  700.22]	4056260855.0687857	6317084407.118279	1.6049263675596633e-07	3	1	5966860291.726379	4056260855.0687857	651
(0.06, 0.22)			(0.41, 0.58)	(0.2, 0.36)									('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAPreOrdmax')	5117420099334.34	4128815337512.934	0.05	0.05	3.46	0.52	[ 65.37 902.6 ]	[2196.65 -699.72]	[1.   3.46 9.  ]	[2262.02   65.37  837.23]	4280143758.6058664	6459002889.887345	1.5139678397415964e-07	3	1	6041735313.657228	4280143758.6058664	648
(0.06, 0.16)	(0.41, 0.57)												('CAPreOrdmax', 'NCRTinterceptNumDis', 'CAPreOrdmax')	5112825443131.82	2878401078978.652	0.05	0.05	2.67	0.59	[-122.3   847.01]	[2373.74 -212.77]	[1.   2.67 9.  ]	[2251.44 -122.3   969.31]	3954033415.293475	6152323396.895901	1.6034260043119626e-07	3	1	5807601594.3400135	3954033415.293475	634
	(0.41, 0.57)	(0.37, 0.56)			(0.0, 0.25)								('CAAnsCsum', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	5134840697885.28	3815449642564.5083	0.05	0.05	3.18	0.42	[-39.13 865.18]	[2428.35 -450.4 ]	[1.   3.18 9.  ]	[2389.22  -39.13  904.31]	4383042369.286261	6634455168.746441	1.6016272279711375e-07	3	1	6292432377.653357	4383042369.286261	702
	(0.38, 0.57)			(0.21, 0.44)						(0.62, 1.0)			('NCRTinterceptNumDis', 'NCtimeCmean', 'SSAnsCprop')	4861202368640.16	3465753594056.0483	0.05	0.05	2.67	0.56	[-251.74  791.04]	[2741.89  -46.25]	[1.   2.67 9.  ]	[2490.14 -251.74 1042.79]	4555775172.651897	6476792294.567163	1.4706608087729577e-07	3	1	6195424797.101887	4555775172.651897	670
	(0.4, 0.57)			(0.21, 0.44)		(0.04, 0.38)							('NCIES', 'NCRTinterceptNumDis', 'NCtimeCmean')	4872912317419.0	3023696718305.567	0.05	0.05	3.21	0.48	[-26.76 828.94]	[2437.81 -305.34]	[1.   3.21 9.  ]	[2411.05  -26.76  855.7 ]	4526733023.837498	6482535616.349775	1.4778870246535133e-07	3	1	6177766219.445153	4526733023.837498	669
			(0.41, 0.58)	(0.2, 0.36)	(0.05, 0.3)								('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAAnsCsum')	5367829828920.31	5009974506992.289	0.05	0.05	3.2	0.49	[-25.47 858.54]	[2458.5  -371.18]	[1.  3.2 9. ]	[2433.03  -25.47  884.01]	4260277339.980769	6196944260.716858	1.4341789307143042e-07	3	1	5984560901.056904	4260277339.980769	611
							(0.24, 0.52)	(0.06, 0.28)	(0.71, 0.75)				('NCtimeCmedian', 'SSPreOrdmax', 'SAtimeCmedian')	4584264416648.11	3603047285456.334	0.05	0.05	2.5	0.56	[-81.62 789.46]	[2270.03   95.78]	[1.  2.5 9. ]	[2188.41  -81.62  871.08]	3892211047.216615	5975472864.575758	1.6956942776059817e-07	3	1	5668097805.268644	3892211047.216615	660
											(0.46, 0.6)	(0.16, 0.24)	('SAIES', 'SAPreOrdmax', 'SAPreOrdmax')	4290146970373.52	3243471887964.965	0.05	0.05	2.5	0.5	[-177.8   803.13]	[2379.35  -71.07]	[1.  2.5 9. ]	[2201.55 -177.8   980.94]	3972168336.4595923	6087939729.7732725	1.6766661017030514e-07	3	1	5619333161.695198	3972168336.4595923	666
