NCIES	NCRTinterceptNumDis	NCtimeCmean	CAAnsCsum	SSAnsCprop	NCtimeCmedian	CAPreOrdmax	SAtimeCmedian	SAAnsCsum	SAPreOrdmax	SStimeCmedian	CAIES	NCRTinterceptNumRatio	SAIES	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.03, 0.38)	(0.4, 0.57)	(0.2, 0.44)	(0.05, 0.3)	(0.62, 1.0)										('NCIES', 'NCRTinterceptNumDis', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop')	5904867716063.1	-inf	0.05	0.05	3.29	0.48	[-25.17 896.07]	[2485.38 -549.27]	[1.   3.29 9.  ]	[2460.2   -25.17  921.25]	4334866857.439336	6386597219.223493	1.414114943225978e-07	3	1	6206676544.094301	4334866857.439336	613
(0.04, 0.08)				(0.92, 1.0)	(0.19, 0.52)	(0.02, 0.15)	(0.7, 0.73)							('NCtimeCmedian', 'CAPreOrdmax', 'NCIES', 'SSAnsCprop', 'SAtimeCmedian')	5077414981495.8	2919513614360.0854	0.05	0.05	2.55	0.64	[-64.45 811.74]	[2221.65  -15.72]	[1.   2.55 9.  ]	[2157.19  -64.45  876.19]	4065716936.5713606	6115935029.954396	1.5101887553386568e-07	3	1	5785289386.120539	4065716936.5713606	614
(0.03, 0.38)								(0.1, 0.3)	(0.14, 0.24)	(0.29, 0.35)				('NCIES', 'SAAnsCsum', 'SAPreOrdmax', 'SStimeCmedian')	4272091096617.92	1836999171545.7056	0.05	0.05	2.26	0.45	[-233.69  769.61]	[2459.76  192.73]	[1.   2.26 9.  ]	[2226.07 -233.69 1003.3 ]	3671808364.997034	5534762073.336649	1.6422425683985474e-07	3	1	5237964524.867378	3671808364.997034	603
(0.04, 0.38)		(0.21, 0.44)												('NCIES', 'NCtimeCmean')	4310513188989.36	1543163721658.191	0.05	0.05	2.67	0.54	[-237.34  773.69]	[2655.84  -45.25]	[1.   2.67 9.  ]	[2418.5  -237.34 1011.03]	4701085919.614354	6680566289.425797	1.5336881995535748e-07	3	1	6246857004.844198	4701085919.614354	721
(0.03, 0.38)	(0.4, 0.57)													('NCIES', 'NCRTinterceptNumDis')	2769990170619.53	793575204178.2334	0.13	0.13	3.35	0.33	[ 86.13 735.35]	[1912.53 -261.4 ]	[1.   3.35 9.  ]	[1998.66   86.13  649.22]	7394238273.4032135	11433558150.453007	2.3166686501861786e-07	3	1	9353680988.970304	7394238273.4032135	1713
(0.04, 0.38)											(0.08, 0.16)			('NCIES', 'CAIES')	2859136676789.83	400369925336.14014	0.07	0.07	2.39	0.38	[-228.92  713.21]	[2373.18  124.37]	[1.   2.39 9.  ]	[2144.26 -228.92  942.13]	4605136758.670853	6944202398.511954	1.997769117861188e-07	3	1	6033653638.204667	4605136758.670853	920
					(0.24, 0.52)	(0.0, 0.19)								('CAPreOrdmax', 'NCtimeCmedian')	2840118660379.63	1303572165474.6272	0.12	0.12	3.18	0.33	[136.75 748.92]	[1708.98 -238.52]	[1.   3.18 9.  ]	[1845.73  136.75  612.16]	6547763697.45311	10804590310.894407	2.4588547699518286e-07	3	1	8633406753.518959	6547763697.45311	1610
						(0.0, 0.15)			(0.14, 0.5)					('SAPreOrdmax', 'CAPreOrdmax')	2616983338087.96	975433106449.284	0.12	0.12	2.55	0.4	[ 21.66 694.73]	[1778.33   63.26]	[1.   2.55 9.  ]	[1799.99   21.66  673.07]	6799167925.0185175	10872553009.753849	2.3899983320320393e-07	3	1	8673263070.451542	6799167925.0185175	1625
						(0.0, 0.19)		(0.1, 0.24)						('CAPreOrdmax', 'SAAnsCsum')	3620419014019.67	218384239969.63406	0.05	0.05	2.49	0.57	[-83.28 750.07]	[2171.28   96.99]	[1.   2.49 9.  ]	[2088.    -83.28  833.35]	4174525293.810082	6161854777.027222	1.67204640258135e-07	3	1	5577852643.53531	4174525293.810082	698
												(0.41, 0.58)	(0.46, 0.6)	('NCRTinterceptNumRatio', 'SAIES')	2761643387230.52	334735714478.5421	0.07	0.07	2.67	0.51	[-73.23 730.57]	[2160.67   17.33]	[1.   2.67 9.  ]	[2087.44  -73.23  803.81]	4438203268.496244	6867253792.0212555	2.1202273602011707e-07	3	1	5912132854.376447	4438203268.496244	941
