SSIES	NCPreOrdmax	SAAnsCprop	SSAnsCprop	SStimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.16, 0.23)					('SSIES',)	-100690.48	-inf	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.029343	44860049941.73617	4.670719426394871e-07	3	1	27786122639.321278	27785869403.029343	12978
(0.16, 0.23)	(52.0, 52.0)				('SSIES', 'NCPreOrdmax')	-100690.48	-10069.048	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021202	44860049941.73617	4.6707194263962387e-07	3	1	27786122639.321278	27785869403.021202	12978
(0.16, 0.23)		(0.21, 1.0)			('SSIES', 'SAAnsCprop')	-100690.48	-1006.9048000000004	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021584	44860049941.73617	4.670719426396175e-07	3	1	27786122639.321278	27785869403.021584	12978
(0.16, 0.23)			(0.09, 1.0)		('SSIES', 'SSAnsCprop')	-100690.48	-100.69048000000004	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021194	44860049941.73617	4.67071942639624e-07	3	1	27786122639.321278	27785869403.021194	12978
(0.16, 0.23)				(0.01, 0.02)	('SSIES', 'SStimeCmean')	-100690.48	-10.069048000000002	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021206	44860049941.73617	4.6707194263962387e-07	3	1	27786122639.321278	27785869403.021206	12978
(0.16, 0.23)	(52.0, 52.0)	(0.21, 1.0)			('SSIES', 'NCPreOrdmax', 'SAAnsCprop')	-100690.48	-1.0069048	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.02124	44860049941.73617	4.670719426396233e-07	3	1	27786122639.321278	27785869403.02124	12978
(0.16, 0.23)	(52.0, 52.0)		(0.09, 1.0)		('SSIES', 'NCPreOrdmax', 'SSAnsCprop')	-100690.48	-0.10069048000000004	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.13]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021393	44860049941.73617	4.6707194263962075e-07	3	1	27786122639.321278	27785869403.021393	12978
(0.16, 0.23)	(52.0, 52.0)			(0.01, 0.02)	('SSIES', 'NCPreOrdmax', 'SStimeCmean')	-100690.48	-0.010069048000000002	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021194	44860049941.73617	4.67071942639624e-07	3	1	27786122639.321278	27785869403.021194	12978
(0.16, 0.23)		(0.21, 1.0)	(0.09, 1.0)		('SSIES', 'SAAnsCprop', 'SSAnsCprop')	-100690.48	-0.0010069048000000008	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.31 -231.13]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021423	44860049941.73617	4.670719426396202e-07	3	1	27786122639.321278	27785869403.021423	12978
(0.16, 0.23)		(0.21, 1.0)		(0.01, 0.02)	('SSIES', 'SAAnsCprop', 'SStimeCmean')	-100690.48	-0.00010069048000000006	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.31 -231.13]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.02169	44860049941.73617	4.6707194263961566e-07	3	1	27786122639.321278	27785869403.02169	12978
